,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
73,Jan Blachowicz,-115.0,Jimi Manuwa,-125.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
74,Leon Edwards,-130.0,Seth Baczynski,-110.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
75,Marcin Bandel,150.0,Stevie Ray,-190.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
76,Maryna Moroz,375.0,Joanne Calderwood,-565.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
77,Pawel Pawlak,120.0,Sheldon Westcott,-160.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
78,Sergio Moraes,-350.0,Mickael Lebout,250.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
79,Seth Baczynski,-110.0,Leon Edwards,-130.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
80,Sheldon Westcott,-160.0,Pawel Pawlak,120.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
81,Stevie Ray,-190.0,Marcin Bandel,150.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
82,Yaotzin Meza,100.0,Damian Stasiak,-140.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
83,Bart Palaszewski,-190.0,Cole Miller,150.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
84,Bristol Marunde,-105.0,Clint Hester,-135.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
85,Cat Zingano,135.0,Miesha Tate,-175.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
86,Cole Miller,150.0,Bart Palaszewski,-190.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
87,Daniel Pineda,-115.0,Justin Lawrence,-125.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
88,Dylan Andrews,-160.0,Jimmy Quinlan,120.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
89,Gabriel Gonzaga,160.0,Travis Browne,-210.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
90,Josh Samman,-300.0,Kevin Casey,220.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
91,Justin Lawrence,-125.0,Daniel Pineda,-115.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
92,Kelvin Gastelum,220.0,Urijah Hall,-300.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
93,Kevin Casey,220.0,Josh Samman,-300.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
94,Luke Barnatt,-110.0,Collin Hart,-130.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
95,Maximo Blanco,-265.0,Sam Sicilia,185.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
96,Miesha Tate,-175.0,Cat Zingano,135.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
97,Robert McDaniel,-215.0,Gilbert Smith,165.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
98,Sam Sicilia,185.0,Maximo Blanco,-265.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
99,Scott Jorgensen,300.0,Urijah Faber,-420.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
100,Travis Browne,-210.0,Gabriel Gonzaga,160.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
101,Urijah Faber,-420.0,Scott Jorgensen,300.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
102,Alan Jouban,-155.0,Dwight Grant,115.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
103,Alexandre Pantoja,-245.0,Wilson Reis,175.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
104,Andre Soukhamthath,-350.0,Montel Jackson,250.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
105,Belal Muhammad,135.0,Curtis Millender,-175.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
106,Boston Salmon,-150.0,Khalid Taha,110.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
107,Brandon Davis,-105.0,Randy Costa,-135.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
108,Curtis Millender,-175.0,Belal Muhammad,135.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
109,Dustin Poirier,170.0,Max Holloway,-230.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
110,Dwight Grant,115.0,Alan Jouban,-155.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
111,Eryk Anders,-165.0,Khalil Rountree,125.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
112,Israel Adesanya,-220.0,Kelvin Gastelum,185.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
113,Jalin Turner,-165.0,Matt Frevola,125.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
114,Kelvin Gastelum,185.0,Israel Adesanya,-220.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
115,Khalid Taha,110.0,Boston Salmon,-150.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
116,Lauren Mueller,125.0,Poliana Botelho,-165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
117,Matt Frevola,125.0,Jalin Turner,-165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
118,Matt Frevola,125.0,Jalin Turner,-165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
119,Max Griffin,165.0,Zelim Imadaev,-215.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
120,Max Holloway,-230.0,Dustin Poirier,170.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
121,Montel Jackson,250.0,Andre Soukhamthath,-350.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
122,Nikita Krylov,115.0,Ovince St. Preux,-155.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
123,Poliana Botelho,-165.0,Lauren Mueller,125.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
124,Wilson Reis,175.0,Alexandre Pantoja,-245.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
125,Zelim Imadaev,-215.0,Max Griffin,165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
126,Jalin Turner,-130.0,Renato Moicano,110.0,UFC,Apr 13th 2024
127,Jessica Andrade,-175.0,Marina Rodriguez,145.0,UFC,Apr 13th 2024
128,Jim Miller,180.0,Bobby Green,-218.0,UFC,Apr 13th 2024
129,Marina Rodriguez,145.0,Jessica Andrade,-175.0,UFC,Apr 13th 2024
130,Renato Moicano,110.0,Jalin Turner,-130.0,UFC,Apr 13th 2024
131,Renato Moicano,110.0,Jalin Turner,-130.0,UFC,Apr 13th 2024
132,Alessio Sakara,300.0,Brian Stann,-390.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
133,Alexander Gustafsson,-210.0,Thiago Silva,160.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
134,Besam Yousef,230.0,Simeon Thoresen,-290.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
135,Brad Pickett,-220.0,Damacio Page,180.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
136,Brian Stann,-390.0,Alessio Sakara,300.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
137,Cyrille Diabate,160.0,Tom Deblass,-195.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
138,Damacio Page,180.0,Brad Pickett,-220.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
139,Dennis Siver,170.0,Diego Nunes,-230.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
140,Eric Wisely,-180.0,Jason Young,150.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
141,Francis Carmont,-240.0,Magnus Cedenblad,180.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
