,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
189,Raquel Pennington,215.0,Miesha Tate,-255.0,UFC 205: Alvarez vs. McGregor,Nov 12th 2016
190,Raquel Pennington,-260.0,Elizabeth Phillips,180.0,UFC 202: Diaz vs. McGregor 2,Aug 20th 2016
191,Raquel Pennington,-265.0,Bethe Correia,185.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
192,Raquel Pennington,180.0,Jessica Andrade,-260.0,UFC 191: Johnson vs. Dodson II,Sep 5th 2015
193,Raquel Pennington,335.0,Holly Holm,-505.0,UFC 184: Rousey vs. Zingano,Feb 28th 2015
194,Raquel Pennington,140.0,Ashlee Evans-Smith,-180.0,UFC 181: Hendricks vs. Lawler 2,Dec 6th 2014
195,Raquel Pennington,130.0,Jessica Andrade,-170.0,UFC 171: Hendricks vs. Lawler,Mar 15th 2014
196,Raquel Pennington,230.0,Holly Holm,-290.0,UFC 246: McGregor vs. Cowboy,Jan 18th 2020
197,Raquel Pennington,-230.0,Roxanne Modafferi,170.0,UFC: The Ultimate Fighter 18 Finale,Nov 30th 2013
198,Raquel Pennington,,Ketlen Vieira,,UFC Fight Night 217,Dec 17th 2022
200,Roman Dolidze,-170.0,Anthony Smith,142.0,UFC 303,Jun 30th 2024
201,Roman Dolidze,125.0,Nassourdine Imavov,-150.0,UFC Fight Night,Feb 4th 2024
202,Roman Dolidze,235.0,Marvin Vettori,-275.0,UFC 286,Mar 18th 2023
203,Roman Dolidze,130.0,Jack Hermansson,-150.0,UFC Fight Night 214,Dec 3rd 2022
204,Roman Dolidze,-135.0,Phillip Hawes,115.0,UFC Fight Night 213,Oct 29th 2022
205,Roman Dolidze,150.0,Kyle Daukaus,-175.0,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
206,Roman Dolidze,260.0,Brendan Allen,-350.0,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
207,Roman Dolidze,140.0,Eryk Anders,-165.0,UFC Fight Night: Holloway vs. Rodriguez,Nov 13th 2021
208,Roman Dolidze,130.0,Laureano Staropoli,-150.0,UFC Fight Night 189: Rozenstruik vs. Sakai,Jun 5th 2021
209,Roman Dolidze,-200.0,John Allan,170.0,UFC on ESPN 19: Hermansson vs. Vettori,Dec 5th 2020
210,Roman Dolidze,-180.0,Khadis Ibragimov,155.0,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 18th 2020
211,Ryan Spann,-330.0,Ovince St. Preux,260.0,UFC 307,Oct 5th 2024
212,Ryan Spann,-300.0,Ovince St. Preux,230.0,UFC,Sep 7th 2024
213,Ryan Spann,-162.0,Bogdan Guskov,136.0,UFC,Apr 28th 2024
214,Ryan Spann,-138.0,Anthony Smith,110.0,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 26th 2023
215,Ryan Spann,145.0,Nikita Krylov,-170.0,UFC Fight Night 221,Mar 11th 2023
216,Ryan Spann,130.0,Nikita Krylov,-150.0,UFC Fight Night 220,Feb 25th 2023
217,Ryan Spann,170.0,Dominick Reyes,-195.0,UFC 281,Nov 12th 2022
218,Ryan Spann,145.0,Ion Curelaba,-175.0,UFC Fight Night 208,May 14th 2022
219,Ryan Spann,155.0,Ion Curelaba,-190.0,UFC Fight Night 203,Feb 26th 2022
220,Ryan Spann,140.0,Anthony Smith,-160.0,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
221,Ryan Spann,-105.0,Johnny Walker,-115.0,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
222,Ryan Spann,-400.0,Sam Alvey,325.0,UFC 249: Ferguson vs. Gaethje,May 9th 2020
223,Ryan Spann,-215.0,Devin Clark,165.0,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019
224,Ryan Spann,-190.0,Antonio Rogerio Nogueira,165.0,UFC 237: Namajunas vs. Andrade,May 11th 2019
225,Ryan Spann,-195.0,Luis Henrique,155.0,UFC Fight Night 137: Santos vs. Anders,Sep 22nd 2018
226,Ryan Spann,105.0,Misha Cirkunov,-125.0,UFC Fight Night 187: Edwards vs. Muhammad,Mar 13th 2021
228,Stephen Thompson,200.0,Shavkat Rakhmonov,-245.0,UFC,Dec 17th 2023
229,Stephen Thompson,-245.0,Michel Pereira,186.0,UFC 289,Jun 10th 2023
230,Stephen Thompson,-150.0,Michel Pereira,125.0,UFC,Jul 30th 2023
232,Stephen Thompson,-250.0,Belal Muhammad,210.0,UFC Fight Night: Lewis vs. Daukaus,Dec 18th 2021
233,Stephen Thompson,135.0,Gilbert Burns,-155.0,UFC 264: Poirier vs. McGregor 3,Jul 10th 2021
234,Stephen Thompson,-115.0,Geoff Neal,-105.0,UFC Fight Night 183: Thompson vs. Neal,Dec 19th 2020
235,Stephen Thompson,-135.0,Vicente Luque,-105.0,UFC 244: Masvidal vs. Diaz,Nov 2nd 2019
236,Stephen Thompson,-285.0,Anthony Pettis,205.0,UFC on ESPN+ 6: Thompson vs. Pettis,Mar 23rd 2019
237,Stephen Thompson,-165.0,Darren Till,125.0,UFC Fight Night 130: Thompson vs. Till,May 27th 2018
238,Stephen Thompson,-160.0,Jorge Masvidal,120.0,UFC 217: Bisping vs. St-Pierre,Nov 4th 2017
239,Stephen Thompson,-135.0,Tyron Woodley,105.0,UFC 209: Woodley vs. Thompson 2,Mar 4th 2017
240,Stephen Thompson,-150.0,Tyron Woodley,120.0,UFC 205: Alvarez vs. McGregor,Nov 12th 2016
241,Stephen Thompson,110.0,Rory Macdonald,-150.0,UFC Fight Night 89: MacDonald vs. Thompson,Jun 18th 2016
242,Stephen Thompson,265.0,Johny Hendricks,-385.0,UFC Fight Night 82: Hendricks vs. Thompson,Feb 6th 2016
243,Stephen Thompson,-190.0,Jake Ellenberger,150.0,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,Jul 12th 2015
244,Stephen Thompson,-270.0,Patrick Cote,190.0,UFC 178: Johnson vs. Cariaso,Sep 27th 2014
245,Stephen Thompson,-130.0,Robert Whittaker,-110.0,UFC 170: Rousey vs. McMann,Feb 22nd 2014
246,Stephen Thompson,-280.0,Chris Clements,200.0,UFC 165: Jones vs. Gustafsson,Sep 21st 2013
247,Stephen Thompson,-170.0,Nah-Shon Burrell,130.0,UFC 160: Velasquez vs. Silva II,May 25th 2013
248,Stephen Thompson,-280.0,Matt Brown,200.0,UFC 145: Jones vs. Evans,Apr 21st 2012
251,Tim Means,190.0,Uros Medic,-230.0,UFC,Apr 27th 2024
252,Tim Means,163.0,Andre Fialho,-225.0,UFC on ESPN 53,Sep 23rd 2023
253,Tim Means,275.0,Alex Morono,-325.0,UFC Fight Night: Smith vs Walker,May 13th 2023
254,Tim Means,130.0,Max Griffin,-150.0,UFC Fight Night 213,Oct 29th 2022
256,Tim Means,-146.0,Jeremiah Wells,124.0,UFC Fight Night 202,Feb 5th 2022
257,Tim Means,-200.0,Nicolas Dalby,170.0,UFC Fight Night 190: Gane vs. Volkov,Jun 26th 2021
258,Tim Means,130.0,Mike Perry,-150.0,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
259,Tim Means,135.0,Laureano Staropoli,-155.0,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 8th 2020
260,Tim Means,-115.0,Niko Price,-125.0,UFC on ESPN+ 4: Lewis vs. Dos Santos,Mar 9th 2019
261,Tim Means,-185.0,Ricky Rainey,145.0,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
262,Tim Means,-260.0,Sergio Moraes,180.0,UFC Fight Night 125: Machida vs. Anders,Feb 3rd 2018
263,Tim Means,-230.0,Belal Muhammad,170.0,UFC Fight Night 121: Werdum vs. Tybura,Nov 18th 2017
264,Tim Means,-260.0,Alex Garcia,180.0,UFC Fight Night 112: Chiesa vs. Lee,Jun 25th 2017
265,Tim Means,-165.0,Alex Oliveira,125.0,UFC Fight Night 106: Belfort vs. Gastelum,Mar 11th 2017
266,Tim Means,-140.0,Alex Oliveira,100.0,UFC 207: Nunes vs. Rousey,Dec 30th 2016
