,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
280,Brandon Jenkins,220.0,Drakkar Klose,-260.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
281,Caio Borralho,130.0,Gadzhi Omargadzhiev,-150.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
282,Chris Barnett,120.0,Martin Buday,-140.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
283,Devin Clark,-150.0,William Knight,130.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
286,Istela Nunes,-210.0,Sam Hughes,180.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
287,Jesse Ronson,140.0,Rafa Garcia,-160.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
288,Jordan Leavitt,-155.0,Trey Ogden.,135.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
289,Jordan Leavitt,-145.0,Victor Martinez,120.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
290,Kevin Croom,120.0,Heili Alateng,-140.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
292,Mayra Bueno Silva,-110.0,Yanan Wu,-110.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
293,Miguel Baeza,-140.0,Andre Fialho,120.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
295,Mounir Lazzez,190.0,Elizeu Zaleski Dos Santos,-225.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
296,Pannie Kianzad,-300.0,Lina Akhtar Lansberg,250.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
297,Pat Sabatini,-240.0,T.J. Laramie,205.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
303,Abdul Razak Alhassan,-350.0,Jacob Malkoun,285.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
304,Andrei Arlovski,-130.0,Chase Sherman,110.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
305,Anthony Birchak,175.0,Tony Gravely,-205.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
306,Austin Hubbard,-175.0,Dakota Bush,145.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
307,Bartosz Fabinski,-150.0,Gerald Meerschaert,130.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
310,Jessica Penne,155.0,Lupita Godinez,-185.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
311,Justine Kish,200.0,Tracy Cortez,-235.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
312,Kelvin Gastelum,220.0,Robert Whittaker,-275.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
313,Luis Pena,-175.0,Alex Munoz,150.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
317,Chris Barnett,240.0,Martin Buday,-300.0,UFC Fight Night,Apr 17th 2022
318,Anderson Silva,-450.0,Thales Leites,330.0,UFC 97: Redemption,Apr 18th 2009
319,Brian Stann,160.0,Krzysztof Soszynski,-195.0,UFC 97: Redemption,Apr 18th 2009
320,Cheick Kongo,-315.0,Antoni Hardonk,245.0,UFC 97: Redemption,Apr 18th 2009
321,Chuck Liddell,-240.0,Mauricio Rua,180.0,UFC 97: Redemption,Apr 18th 2009
322,David Bielkheden,220.0,Mark Bocek,-280.0,UFC 97: Redemption,Apr 18th 2009
323,Denis Kang,-325.0,Xavier Foupa-Pokam,250.0,UFC 97: Redemption,Apr 18th 2009
324,Ed Herman,105.0,David Loiseau,-135.0,UFC 97: Redemption,Apr 18th 2009
325,Eliot Marshall,-120.0,Vinny Magalhaes,-110.0,UFC 97: Redemption,Apr 18th 2009
328,Matt Wiman,135.0,Sam Stout,-165.0,UFC 97: Redemption,Apr 18th 2009
330,Nate Quarry,-130.0,Jason Macdonald,100.0,UFC 97: Redemption,Apr 18th 2009
331,Ryo Chonan,-215.0,T.J. Grant,170.0,UFC 97: Redemption,Apr 18th 2009
333,Steve Cantwell,190.0,Luis Cane,-250.0,UFC 97: Redemption,Apr 18th 2009
336,Aljamain Sterling,-210.0,Takeya Mizugaki,160.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
337,Beneil Dariush,-140.0,Jim Miller,100.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
338,Chris Camozzi,550.0,Ronaldo Souza,-1050.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
339,Chris Dempsey,260.0,Eddie Gordon,-380.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
340,Corey Anderson,-230.0,Gian Villante,170.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
341,Cub Swanson,-190.0,Max Holloway,150.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
342,Diego Brandao,-170.0,Jimy Hettes,130.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
344,George Sullivan,115.0,Tim Means,-155.0,UFC on FOX 15: Machida vs. Rockhold,Apr 18th 2015
