First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,,2.72,38%,2.07,66%,N/A,0.49,33%,57%,0.5
Hayder,Hassan,Hulk,"5' 10""",170 lbs.,--,,6,3,0,,2.11,46%,3.16,48%,N/A,0.00,0%,25%,0.0
Takayo,Hashi,,"5' 4""",135 lbs.,--,Orthodox,15,6,1,,2.84,26%,6.56,61%,N/A,0.00,0%,0%,0.0
Justin,Haskins,,"5' 10""",170 lbs.,--,Orthodox,7,6,0,,1.51,33%,2.65,54%,N/A,1.62,40%,52%,0.8
Tomohiko,Hashimoto,,"6' 0""",250 lbs.,--,Orthodox,1,4,0,,0.00,0%,11.67,30%,N/A,0.00,0%,0%,0.0
Chris,Haseman,The Hammer,"5' 11""",205 lbs.,--,Orthodox,20,17,0,,0.93,70%,4.67,28%,N/A,0.00,0%,40%,2.0
Hidehiko,Hasegawa,,"5' 9""",170 lbs.,--,,19,20,6,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Clay,Harvison,Bushwacker,"6' 1""",170 lbs.,"74.0""",Orthodox,13,6,0,,3.29,48%,3.91,58%,N/A,0.66,100%,68%,1.3
Dale,Hartt,,"5' 10""",155 lbs.,"69.0""",Orthodox,6,3,0,,1.14,35%,1.55,66%,N/A,1.22,100%,25%,2.5
Joey,Hart,The Hitman,--,170 lbs.,--,,6,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Luke,Hartwig,,--,--,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,,3.86,37%,4.19,55%,N/A,0.58,40%,57%,0.5
Neal,Ewing,,--,185 lbs.,--,,6,0,0,,2.27,60%,1.93,48%,N/A,5.00,62%,0%,0.0
Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,18,0,0,,4.43,48%,2.89,61%,N/A,4.75,46%,71%,0.2
Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,,1.16,42%,4.02,38%,N/A,0.93,30%,33%,0.9
Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,,0.27,10%,3.86,38%,N/A,0.00,0%,0%,4.0
Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,,4.28,40%,4.87,51%,N/A,0.36,75%,72%,0.1
Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,,4.51,40%,3.96,61%,N/A,1.60,19%,61%,0.2
Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,,1.79,35%,2.55,55%,N/A,3.19,83%,69%,0.6
Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,,2.14,37%,2.42,63%,N/A,2.98,44%,73%,0.0
Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0,,4.03,34%,4.59,53%,N/A,0.95,22%,50%,0.0
Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,,4.30,43%,3.43,57%,N/A,1.90,44%,66%,0.3
Igor,Cavalcanti,Jacare,--,170 lbs.,--,,9,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0,,2.71,53%,3.62,49%,N/A,0.60,40%,63%,0.1
Jacqueline,Cavalcanti,,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,,8.40,57%,2.60,84%,N/A,0.00,0%,100%,0.0
Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1,,1.98,35%,3.11,51%,N/A,1.25,36%,66%,1.1
Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0,,3.24,56%,2.01,57%,N/A,1.68,100%,100%,0.0
Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0,,2.11,44%,2.32,63%,N/A,3.71,44%,83%,0.5
Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0,,1.97,28%,5.07,55%,N/A,0.44,20%,85%,0.0
Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0,,0.39,100%,0.77,33%,N/A,0.00,0%,0%,0.0
Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0,,1.47,48%,3.27,60%,N/A,0.00,0%,0%,0.0
Ralph,Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1,,0.34,14%,0.69,60%,N/A,0.00,0%,0%,0.0
Seth,Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,,1.45,26%,2.18,55%,N/A,0.00,0%,45%,0.9
Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0,,2.57,42%,1.96,62%,N/A,2.95,38%,63%,0.2
Mark,Dickman,Tricky,"5' 9""",145 lbs.,--,,11,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Kyle,Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0,,1.82,45%,2.08,62%,N/A,0.00,0%,0%,0.0
TJ,Dillashaw,,"5' 6""",135 lbs.,"67.0""",Orthodox,18,5,0,,5.09,41%,3.47,62%,N/A,1.56,30%,77%,0.8
Adrian,Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1,,0.48,42%,3.84,51%,N/A,2.40,50%,0%,0.0
Ozzy,Diaz,,"6' 4""",185 lbs.,"79.0""",Orthodox,7,2,0,,1.65,32%,3.91,44%,N/A,0.00,0%,0%,0.0
Josh,Diekmann,The Freight Train,"5' 4""",246 lbs.,--,,15,8,0,,0.28,5%,8.17,25%,N/A,0.00,0%,0%,0.0
Michael,Diaz,,--,260 lbs.,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Ryan,Diaz,,--,145 lbs.,--,,13,14,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,,0.79,50%,5.26,23%,N/A,0.00,0%,0%,0.0
Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,,4.20,47%,1.15,66%,N/A,0.00,0%,100%,1.9
Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,,2.22,41%,4.79,41%,N/A,2.90,46%,62%,0.5
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,,2.45,48%,2.70,55%,N/A,0.94,33%,37%,0.0
Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0,,1.40,33%,2.73,50%,N/A,2.00,20%,66%,0.0
Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,,1.78,52%,2.83,45%,N/A,0.44,50%,37%,0.9
Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,,1.74,40%,0.29,0%,N/A,4.35,100%,0%,4.3
Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,,1.56,20%,3.91,69%,N/A,1.50,33%,37%,0.0
Trevor,Harris,,"5' 6""",145 lbs.,--,,2,2,0,,1.73,50%,0.43,75%,N/A,0.00,0%,50%,6.5
Walt,Harris,The Big Ticket,"6' 5""",250 lbs.,"77.0""",Southpaw,13,10,0,,3.05,39%,3.33,54%,N/A,0.29,28%,70%,0.1
Carlston,Harris,Mocambique,"6' 0""",170 lbs.,"76.0""",Orthodox,19,6,0,,3.18,49%,2.66,52%,N/A,1.97,29%,55%,0.8
Collin,Hart,,"6' 1""",185 lbs.,--,Orthodox,6,3,1,,6.33,44%,7.53,51%,N/A,2.00,16%,50%,0.0
Dhafir,Harris,Dada 5000,--,257 lbs.,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Kayla,Harrison,,"5' 8""",135 lbs.,"66.0""",Southpaw,17,1,0,,7.52,71%,0.29,83%,N/A,4.42,40%,100%,2.2
Gerry,Harris,,"6' 8""",270 lbs.,--,Orthodox,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Gerald,Harris,,"5' 11""",185 lbs.,"77.0""",Southpaw,23,5,0,,1.41,29%,1.58,62%,N/A,2.96,54%,72%,0.0
Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Josiah,Harrell,Muscle Hamster,"5' 7""",170 lbs.,"68.0""",Southpaw,7,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Phil,Harris,Billy,"5' 4""",125 lbs.,"65.0""",Orthodox,22,12,0,,2.34,26%,3.16,68%,N/A,1.76,21%,60%,0.0
Scott,Ettling,,--,135 lbs.,--,,4,2,0,,0.00,0%,0.54,83%,N/A,8.04,100%,0%,0.0
Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,,2.16,35%,2.53,67%,N/A,0.43,30%,39%,1.4
Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,,0.00,0%,0.00,0%,N/A,4.37,100%,100%,0.0
Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0,,3.20,43%,3.27,70%,N/A,0.00,0%,0%,0.0
Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,,4.10,31%,7.37,52%,N/A,0.75,21%,83%,0.0
Rafael,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,12,0,0,,2.94,64%,3.35,34%,N/A,3.35,19%,0%,0.7
Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0,,2.38,70%,1.95,40%,N/A,8.93,78%,50%,2.4
Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,,4.22,52%,2.94,57%,N/A,0.75,28%,70%,0.2
Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,,0.60,45%,2.22,44%,N/A,3.33,45%,50%,0.0
Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,7,0,,2.16,40%,2.69,55%,N/A,3.22,35%,47%,0.3
Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0,,4.17,55%,10.83,23%,N/A,0.00,0%,0%,0.0
John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,21,7,0,,4.67,50%,5.22,54%,N/A,1.79,35%,71%,0.1
Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2,,0.74,27%,3.42,54%,N/A,0.00,0%,100%,0.0
Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0,,5.42,72%,0.68,33%,N/A,10.17,66%,0%,0.0
Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,10,10,0,,4.29,39%,4.00,55%,N/A,0.39,31%,39%,0.5
Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,,2.27,53%,3.76,46%,N/A,0.79,22%,27%,0.4
Victor,Dias,Crazy Horse,"5' 6""",125 lbs.,"69.0""",Orthodox,11,3,0,,2.87,44%,5.80,55%,N/A,5.00,41%,0%,0.0
Nate,Diaz,,"6' 0""",170 lbs.,"76.0""",Southpaw,22,13,0,,4.57,45%,3.77,52%,N/A,1.05,30%,41%,1.3
Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,,3.95,38%,2.66,61%,N/A,1.70,45%,72%,0.2
Hacran,Dias,Barnabe,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1,,2.08,41%,3.31,55%,N/A,2.50,39%,76%,0.5
Eldo Xavier,Dias,,"5' 11""",180 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Thomas,Diagne,,"6' 1""",154 lbs.,--,,6,6,1,,4.53,48%,4.53,63%,N/A,2.00,100%,66%,0.0
Nick,Diaz,,"6' 1""",170 lbs.,"76.0""",Southpaw,26,10,0,,5.71,42%,3.84,59%,N/A,1.28,32%,60%,1.0
Rafael,Dias,,"5' 9""",145 lbs.,--,Orthodox,17,12,2,,1.13,27%,2.19,60%,N/A,3.17,47%,100%,1.2
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,15,5,0,,7.15,46%,4.38,57%,N/A,0.00,0%,85%,0.4
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,,2.91,40%,3.23,49%,N/A,1.32,61%,62%,0.3
Blood,Diamond,,"5' 11""",170 lbs.,"76.0""",Switch,3,3,0,,3.12,55%,2.17,48%,N/A,0.00,0%,73%,0.0
Tyler,Diamond,,"5' 7""",145 lbs.,"69.0""",Orthodox,9,1,0,,3.40,47%,2.53,44%,N/A,3.00,75%,70%,0.0
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,,3.13,30%,4.56,46%,N/A,0.00,0%,33%,0.0
Marc,Diakiese,Bonecrusher,"5' 10""",155 lbs.,"73.0""",Orthodox,17,7,0,,2.54,40%,2.64,52%,N/A,3.29,43%,66%,0.0
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,,2.85,42%,3.09,52%,N/A,2.51,36%,65%,0.3
Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,,3.74,71%,4.90,32%,N/A,1.75,12%,100%,0.0
Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8,2,0,,5.28,61%,3.06,58%,N/A,0.00,0%,72%,0.0
Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,,2.82,43%,1.39,71%,N/A,3.37,44%,80%,0.4
Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,4,0,,4.09,49%,5.92,46%,N/A,0.36,22%,54%,2.0
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,,3.08,31%,3.14,51%,N/A,0.89,16%,48%,0.8
Scott,Harper,,"6' 0""",185 lbs.,--,Orthodox,12,7,0,,1.30,54%,4.98,47%,N/A,3.25,100%,0%,0.0
Baru,Harn,Seiryu,--,265 lbs.,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Tobias,Harila,Bad Intention,--,--,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Greg,Hardy,Prince of War,"6' 5""",265 lbs.,"80.0""",Orthodox,7,5,0,,4.79,50%,3.31,55%,N/A,0.20,33%,64%,0.0
Veronica,Hardy,,"5' 4""",125 lbs.,"64.0""",Southpaw,9,4,1,,3.13,45%,3.75,47%,N/A,1.08,41%,60%,0.3
Antoni,Hardonk,,"6' 4""",245 lbs.,"78.0""",Orthodox,8,6,0,,3.40,61%,3.07,46%,N/A,0.00,0%,40%,0.9
George,Hardwick,King,"5' 10""",155 lbs.,"72.0""",Orthodox,12,2,0,,3.60,38%,4.60,71%,N/A,0.00,0%,83%,0.0
Dan,Hardy,The Outlaw,"6' 0""",170 lbs.,"74.0""",Orthodox,25,10,0,,2.46,35%,3.44,51%,N/A,0.73,35%,35%,0.4
Janay,Harding,Hollowpoint,--,135 lbs.,--,,2,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Shin,Haraguchi,,"5' 5""",145 lbs.,"68.0""",Switch,8,1,0,,2.28,64%,1.78,47%,N/A,11.21,53%,0%,0.0
Nasrat,Haqparast,,"5' 10""",155 lbs.,"72.0""",Southpaw,17,5,0,,6.15,44%,5.65,62%,N/A,0.28,20%,84%,0.0
Evan,Esguerra,,--,145 lbs.,--,,8,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Pro,Escobedo,,--,205 lbs.,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bobby,Escalante,,--,130 lbs.,--,,5,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,,1.77,43%,4.32,49%,N/A,0.43,33%,13%,0.0
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,,2.92,44%,2.30,63%,N/A,1.31,40%,66%,0.8
Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,,3.07,71%,1.74,43%,N/A,0.00,0%,0%,2.0
Jarno,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,14,5,1,,3.44,46%,3.36,63%,N/A,0.00,0%,28%,0.3
Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,,4.06,54%,1.13,61%,N/A,4.25,100%,50%,1.4
Konstantin,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0,,1.07,36%,1.83,47%,N/A,0.00,0%,70%,0.0
Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,,1.94,50%,1.84,54%,N/A,2.77,40%,70%,0.0
Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0,,1.34,69%,1.59,41%,N/A,1.88,50%,0%,0.0
Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,30,12,0,,6.18,48%,6.31,48%,N/A,1.69,48%,58%,0.8
Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,,4.38,47%,3.53,53%,N/A,1.42,33%,42%,0.0
Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,,0.60,45%,0.93,53%,N/A,0.00,0%,66%,4.0
Jack,Cartwright,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,1,0,,0.80,38%,3.33,29%,N/A,6.00,66%,0%,2.0
Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,,3.03,29%,3.62,64%,N/A,0.00,0%,100%,0.0
Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,,1.62,36%,2.32,47%,N/A,0.75,66%,75%,0.0
Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,,0.62,66%,6.22,23%,N/A,0.00,0%,0%,0.0
Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,,2.72,42%,5.80,51%,N/A,0.00,0%,14%,0.0
Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,,7.62,61%,10.48,43%,N/A,0.00,0%,100%,0.0
Cyrille,Diabate,The Snake,"6' 6""",205 lbs.,"81.0""",Southpaw,19,10,1,,4.06,71%,1.78,60%,N/A,1.17,83%,53%,0.2
Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Micol,Di Segni,,"5' 3""",115 lbs.,"60.0""",Orthodox,7,3,0,,7.47,40%,5.87,33%,N/A,0.00,0%,37%,0.0
Robelis,Despaigne,The Big Boy,"6' 7""",265 lbs.,"84.0""",Orthodox,5,1,0,,2.16,54%,3.53,49%,N/A,0.00,0%,25%,0.0
John,Devine,,--,--,--,,6,4,0,,1.52,18%,2.28,57%,N/A,0.00,0%,0%,0.0
Alessio,Di Chirico,Manzo,"6' 0""",185 lbs.,"74.0""",Orthodox,13,7,0,,3.32,39%,3.44,61%,N/A,1.46,39%,83%,0.0
Edwin,DeWees,Babyface,"6' 1""",185 lbs.,--,Orthodox,38,17,0,,1.53,33%,6.19,39%,N/A,2.18,66%,0%,3.3
Cory,Devela,The One,"5' 0""",185 lbs.,--,Orthodox,16,7,0,,4.07,41%,4.00,47%,N/A,1.07,12%,62%,0.0
Tony,DeSouza,,"6' 0""",170 lbs.,"70.0""",Southpaw,11,4,0,,1.12,52%,1.57,41%,N/A,2.25,42%,40%,1.5
Booker,DeRousse,,"6' 2""",205 lbs.,--,,6,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,,1.12,41%,3.65,40%,N/A,2.92,80%,72%,2.2
Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Mackenzie,Dern,,"5' 4""",115 lbs.,"63.0""",Orthodox,13,5,0,,3.31,40%,4.09,51%,N/A,0.79,15%,28%,1.3
Kay,Hansen,,"5' 2""",115 lbs.,"63.0""",Orthodox,7,6,0,,3.01,50%,3.19,51%,N/A,1.83,22%,37%,0.8
Chad,Hanekom,Superman,"6' 4""",185 lbs.,"74.0""",Orthodox,9,3,0,,0.73,47%,1.47,33%,N/A,0.00,0%,71%,1.0
Dean,Hancock,The Hammer,--,155 lbs.,--,,2,1,0,,7.97,63%,1.94,67%,N/A,1.71,33%,75%,1.7
Joachim,Hansen,Hellboy,"5' 7""",150 lbs.,--,Southpaw,23,14,1,,2.01,43%,2.04,58%,N/A,2.21,58%,34%,1.9
James,Hammortree,The Sledge,"6' 3""",185 lbs.,--,Orthodox,6,3,0,,1.93,30%,4.13,44%,N/A,2.00,50%,100%,1.0
Jared,Hamman,The Messenger,"6' 3""",185 lbs.,"75.0""",Orthodox,14,6,0,,5.15,42%,3.93,55%,N/A,1.57,46%,30%,0.0
CJ,Hamilton,The Autobot,"5' 7""",125 lbs.,"68.0""",Switch,11,4,0,,2.47,31%,3.93,58%,N/A,0.00,0%,62%,0.0
Jeremy,Hamilton,Hawk,--,185 lbs.,--,,9,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Anthony,Hamilton,Freight Train,"6' 5""",260 lbs.,"76.0""",Orthodox,15,9,0,,3.91,65%,3.02,45%,N/A,2.62,42%,78%,0.0
Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1,,0.94,47%,1.87,25%,N/A,4.68,60%,100%,6.2
Steve,Erceg,Astroboy,"5' 8""",125 lbs.,"68.0""",Orthodox,12,2,0,,4.52,49%,4.20,52%,N/A,1.24,26%,60%,0.5
Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,8,0,,3.69,42%,3.80,61%,N/A,3.00,34%,91%,0.0
Won Jin,Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1,,3.74,44%,3.58,46%,N/A,0.00,0%,50%,0.0
Andy,Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0,,3.51,23%,5.32,57%,N/A,0.00,0%,58%,0.0
Ian,Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0,,0.11,7%,7.36,31%,N/A,0.00,0%,0%,12.1
Kenny,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0,,8.41,79%,0.00,100%,N/A,5.49,100%,0%,11.0
Josh,Epps,,--,130 lbs.,--,,6,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Alex,Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,,4.15,37%,1.53,80%,N/A,0.00,0%,100%,0.0
Oliver,Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0,,2.38,36%,3.55,37%,N/A,0.87,16%,0%,0.0
Kolton,Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0,,2.31,25%,11.54,40%,N/A,0.00,0%,0%,0.0
Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,,0.59,50%,6.90,12%,N/A,0.00,0%,0%,0.0
Clayton,Carpenter,,"5' 6""",125 lbs.,"66.0""",Orthodox,7,0,0,,4.50,51%,2.85,60%,N/A,2.47,50%,0%,2.5
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,,1.46,46%,1.82,62%,N/A,3.05,42%,83%,1.4
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,15,3,0,,2.87,39%,4.74,45%,N/A,1.37,55%,14%,0.3
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,,2.78,54%,2.51,61%,N/A,2.57,51%,65%,0.3
Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,10,4,0,,4.63,49%,3.63,49%,N/A,0.38,42%,76%,0.6
Jason,Dent,Dynamite,"5' 10""",155 lbs.,"71.0""",Orthodox,22,13,0,,2.01,39%,3.70,62%,N/A,0.00,0%,26%,1.4
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,,2.22,42%,1.64,59%,N/A,1.79,36%,73%,0.6
Nick,Denis,The Ninja of Love,"5' 7""",135 lbs.,--,Orthodox,11,3,0,,6.54,53%,5.42,36%,N/A,2.80,100%,80%,0.0
Chris,Dempsey,,"5' 10""",185 lbs.,"72.0""",Orthodox,11,5,0,,2.25,32%,2.82,65%,N/A,2.64,23%,16%,0.0
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,,2.55,54%,3.85,30%,N/A,3.34,36%,57%,0.5
Robert,Densley,The Wrecker,"5' 9""",155 lbs.,--,,9,10,0,,1.81,47%,0.40,60%,N/A,0.00,0%,50%,0.0
Thomas,Denny,The Wildman,"5' 10""",170 lbs.,--,Orthodox,27,21,1,,2.36,45%,4.69,40%,N/A,1.48,17%,42%,1.5
Vanessa,Demopoulos,Lil Monster,"5' 2""",115 lbs.,"59.0""",Orthodox,11,5,0,,3.98,41%,5.69,41%,N/A,0.42,11%,30%,0.6
Jason,DeLucia,,"5' 11""",190 lbs.,--,Southpaw,33,21,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Justin,DeMoney,,--,170 lbs.,--,,15,7,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jon,Delos Reyes,The Heat,"5' 6""",125 lbs.,"67.0""",Orthodox,8,5,0,,2.99,38%,4.14,51%,N/A,3.20,83%,55%,1.9
Roland,Delorme,,"5' 9""",135 lbs.,"71.0""",Orthodox,9,5,0,,2.28,44%,4.32,40%,N/A,2.51,34%,42%,1.6
Frank,Hamaker,,--,--,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
