First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,,1.99,40%,3.45,58%,N/A,0.65,50%,40%,0.0
Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13,7,1,,1.71,41%,1.67,55%,N/A,1.13,20%,40%,0.8
Anvar,Boynazarov,The Uzbek,"5' 9""",145 lbs.,--,Orthodox,3,1,0,,0.00,0%,7.83,29%,N/A,0.00,0%,0%,0.0
Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,,0.43,25%,1.73,50%,N/A,19.42,50%,100%,0.0
Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,,2.43,42%,4.86,57%,N/A,0.00,0%,0%,0.0
Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,,3.90,47%,3.86,51%,N/A,3.09,43%,27%,0.9
Dominick,Cruz,The Dominator,"5' 8""",135 lbs.,"68.0""",Orthodox,24,4,0,,3.91,33%,2.61,70%,N/A,2.82,42%,83%,0.1
Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,2.73,57%,2.05,40%,N/A,0.00,0%,0%,0.0
Aalon,Cruz,,"6' 0""",145 lbs.,"78.0""",Switch,8,4,0,,7.58,39%,8.88,58%,N/A,0.00,0%,0%,0.0
Marcio,Cruz,Pe de Pano,"6' 4""",232 lbs.,--,Orthodox,8,3,0,,2.92,46%,1.51,68%,N/A,0.53,7%,37%,1.6
Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,,2.36,26%,2.98,64%,N/A,1.39,70%,54%,1.4
Richard,Crunkilton,Cleat,"5' 7""",155 lbs.,--,Orthodox,19,4,0,,1.72,41%,1.45,58%,N/A,4.08,61%,65%,1.3
Jimmy,Crute,,"6' 2""",205 lbs.,"74.0""",Orthodox,12,4,1,,3.68,54%,3.04,44%,N/A,4.84,57%,60%,2.0
Daron,Cruickshank,Detroit Superstar,"5' 8""",155 lbs.,"72.0""",Switch,18,10,0,,2.88,38%,2.98,57%,N/A,2.04,41%,60%,0.2
Jeff,Crotty,,--,155 lbs.,--,,1,1,0,,0.93,35%,3.33,54%,N/A,5.00,38%,0%,1.0
Ken,Cross,The Boss,"6' 0""",155 lbs.,"72.0""",Southpaw,11,3,0,,2.20,57%,1.40,55%,N/A,1.00,12%,66%,0.0
Allen,Crowder,Pretty Boy,"6' 3""",245 lbs.,"76.0""",Orthodox,10,4,0,,2.95,51%,2.95,56%,N/A,1.85,33%,100%,1.2
Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0,,0.00,0%,3.35,47%,N/A,0.00,0%,0%,0.0
Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0,,0.80,29%,4.60,42%,N/A,2.00,18%,0%,0.0
Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1,,2.08,52%,0.74,67%,N/A,2.22,25%,80%,0.7
Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0,,2.51,46%,3.31,66%,N/A,3.17,33%,89%,0.5
War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14,5,0,,2.32,60%,3.17,43%,N/A,1.16,50%,40%,0.0
Ian,Machado Garry,The Future,"6' 3""",170 lbs.,"74.0""",Orthodox,15,0,0,,5.50,55%,3.17,52%,N/A,0.77,55%,69%,0.3
Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26,18,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,,1.34,25%,4.09,61%,N/A,1.63,33%,80%,2.7
Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0,,2.59,53%,1.57,61%,N/A,1.21,65%,75%,0.4
