SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
1.56,34%,1.63,56%,N/A,3.05,75%,37%,1.0
2.82,66%,2.02,50%,N/A,1.14,41%,41%,0.2
8.92,68%,6.49,38%,N/A,12.16,100%,0%,0.0
1.66,48%,1.15,57%,N/A,2.41,48%,58%,1.2
4.52,41%,6.38,62%,N/A,0.44,18%,57%,0.2
5.59,55%,3.30,57%,N/A,0.00,0%,60%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.84,44%,8.97,43%,N/A,0.00,0%,50%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.18,45%,1.90,51%,N/A,4.45,48%,57%,1.6
3.82,45%,3.22,57%,N/A,0.37,35%,76%,0.2
1.53,46%,2.73,51%,N/A,0.00,0%,50%,1.0
4.36,36%,3.05,68%,N/A,0.46,28%,96%,0.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.11,47%,4.96,56%,N/A,1.76,40%,78%,0.6
1.52,42%,2.86,49%,N/A,0.86,15%,22%,0.6
1.80,35%,2.83,50%,N/A,2.50,62%,83%,0.0
2.37,45%,2.66,64%,N/A,0.93,47%,41%,0.7
0.00,0%,0.54,81%,N/A,0.00,0%,0%,8.1
1.35,40%,11.50,32%,N/A,0.00,0%,33%,0.0
8.79,27%,10.29,39%,N/A,0.00,0%,0%,0.0
5.31,50%,6.03,47%,N/A,1.45,46%,58%,0.0
2.47,42%,2.47,69%,N/A,0.65,100%,0%,0.0
0.97,58%,1.25,58%,N/A,2.54,41%,60%,4.0
3.23,58%,3.75,45%,N/A,1.83,16%,75%,0.0
1.09,50%,7.64,50%,N/A,0.00,0%,0%,0.0
5.73,52%,5.00,69%,N/A,0.00,0%,100%,0.0
2.08,55%,4.21,40%,N/A,5.08,36%,0%,1.4
3.64,53%,2.25,59%,N/A,1.02,31%,86%,0.0
0.00,0%,3.13,25%,N/A,0.00,0%,0%,0.0
3.60,45%,3.11,53%,N/A,0.82,30%,42%,0.6
3.56,38%,3.77,53%,N/A,0.00,0%,33%,0.0
4.62,78%,1.86,50%,N/A,4.47,50%,60%,1.1
4.59,48%,5.54,51%,N/A,2.28,66%,100%,0.0
2.87,50%,3.50,58%,N/A,0.67,20%,40%,0.0
2.21,50%,2.72,46%,N/A,2.83,50%,57%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.27,31%,3.00,65%,N/A,0.00,0%,0%,0.0
0.20,36%,2.60,53%,N/A,0.00,0%,25%,0.8
3.26,42%,2.77,63%,N/A,1.93,50%,66%,0.3
6.62,50%,5.37,55%,N/A,2.37,55%,72%,0.3
1.76,46%,3.35,37%,N/A,0.52,25%,53%,0.5
3.97,37%,3.08,61%,N/A,0.34,14%,60%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.43,46%,2.22,59%,N/A,4.89,50%,83%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.41,47%,4.17,50%,N/A,1.79,26%,79%,0.1
6.75,39%,2.01,83%,N/A,0.00,0%,0%,0.0
4.73,54%,2.16,61%,N/A,0.68,33%,78%,2.0
1.47,34%,2.67,54%,N/A,0.00,0%,25%,1.0
1.33,44%,2.98,46%,N/A,3.96,43%,35%,1.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.33,52%,1.85,62%,N/A,1.48,23%,0%,5.4
3.16,69%,6.32,33%,N/A,0.00,0%,50%,0.0
0.83,29%,3.76,40%,N/A,3.13,57%,100%,0.8
0.99,30%,3.85,46%,N/A,0.00,0%,0%,0.0
3.29,47%,0.82,78%,N/A,5.84,56%,100%,0.0
5.53,35%,24.47,33%,N/A,0.00,0%,100%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.85,48%,3.30,58%,N/A,0.29,25%,44%,1.5
2.27,24%,5.91,63%,N/A,0.00,0%,20%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.50,46%,2.02,30%,N/A,0.00,0%,53%,0.0
3.65,46%,3.37,50%,N/A,0.00,0%,11%,1.3
2.73,40%,4.53,56%,N/A,1.00,33%,50%,0.0
5.83,31%,9.25,44%,N/A,0.00,0%,0%,0.0
4.32,41%,4.39,55%,N/A,2.92,36%,92%,0.5
0.89,37%,3.25,47%,N/A,0.00,0%,0%,0.0
1.56,20%,2.08,75%,N/A,0.00,0%,0%,0.0
4.55,57%,3.70,54%,N/A,3.43,39%,63%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.25,61%,1.88,46%,N/A,0.00,0%,56%,0.0
4.94,43%,4.92,46%,N/A,0.00,0%,50%,0.0
3.28,44%,3.63,52%,N/A,0.06,14%,82%,0.1
5.74,34%,1.91,67%,N/A,0.00,0%,0%,0.0
3.73,41%,3.42,62%,N/A,0.71,60%,63%,0.3
3.04,48%,3.95,50%,N/A,1.22,50%,62%,0.8
2.43,42%,1.97,56%,N/A,3.50,29%,60%,1.0
1.07,39%,3.33,43%,N/A,0.50,33%,37%,0.0
3.13,37%,6.07,42%,N/A,0.00,0%,0%,0.0
2.36,44%,6.06,38%,N/A,1.61,26%,20%,0.4
4.84,43%,4.93,61%,N/A,0.17,14%,75%,0.0
1.92,41%,5.75,27%,N/A,0.00,0%,0%,0.0
0.20,18%,4.53,30%,N/A,0.00,0%,0%,0.0
2.36,61%,1.00,58%,N/A,6.68,56%,0%,2.4
2.46,64%,0.72,40%,N/A,6.85,59%,75%,2.6
1.28,49%,1.90,59%,N/A,0.62,50%,26%,0.0
3.39,40%,2.91,61%,N/A,1.02,50%,75%,0.4
7.60,51%,5.87,53%,N/A,2.00,66%,100%,0.0
1.67,36%,2.60,41%,N/A,0.00,0%,40%,5.0
0.80,38%,3.10,43%,N/A,0.00,0%,50%,0.0
3.56,42%,5.74,52%,N/A,1.40,71%,50%,0.8
2.02,49%,1.20,61%,N/A,3.74,38%,31%,1.2
7.03,60%,7.27,36%,N/A,1.82,33%,0%,1.8
6.32,50%,10.11,38%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.41,45%,2.20,56%,N/A,1.76,38%,100%,0.0
3.98,53%,3.83,47%,N/A,1.74,47%,58%,1.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.50,51%,0.46,59%,N/A,3.06,44%,0%,0.0
6.16,52%,4.52,47%,N/A,0.86,46%,56%,0.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.65,38%,4.77,53%,N/A,0.37,7%,22%,0.7
1.61,45%,2.89,42%,N/A,0.35,20%,66%,0.7
3.06,54%,3.20,52%,N/A,1.19,57%,33%,0.0
0.88,19%,2.20,66%,N/A,4.71,26%,0%,0.0
5.23,55%,1.83,71%,N/A,0.00,0%,57%,0.0
2.10,39%,2.91,54%,N/A,1.85,38%,70%,1.2
2.37,28%,4.80,48%,N/A,2.50,15%,50%,0.0
3.84,43%,3.55,48%,N/A,0.87,20%,100%,0.9
2.90,40%,4.38,56%,N/A,2.26,41%,80%,0.3
3.13,44%,3.13,58%,N/A,0.00,0%,57%,0.0
3.88,46%,4.38,60%,N/A,0.66,23%,66%,0.0
3.59,38%,5.08,59%,N/A,0.93,100%,0%,0.0
5.24,40%,6.33,57%,N/A,0.16,50%,76%,0.2
2.91,54%,6.26,26%,N/A,2.57,40%,33%,0.0
3.63,46%,3.73,60%,N/A,0.51,53%,91%,0.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.93,38%,2.63,50%,N/A,2.00,68%,81%,0.9
0.32,13%,3.34,25%,N/A,0.00,0%,0%,0.0
2.72,45%,2.79,49%,N/A,1.44,62%,60%,0.8
4.83,47%,5.56,38%,N/A,2.27,50%,77%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.98,51%,6.08,52%,N/A,1.54,37%,100%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.80,39%,3.07,63%,N/A,1.71,33%,40%,0.7
3.05,49%,2.82,35%,N/A,0.00,0%,50%,6.1
2.64,32%,4.67,57%,N/A,1.99,45%,75%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.84,65%,6.66,23%,N/A,2.06,50%,42%,0.0
3.27,39%,3.14,60%,N/A,0.65,14%,57%,0.0
1.36,19%,3.61,53%,N/A,0.00,0%,0%,0.0
1.80,25%,3.97,57%,N/A,1.00,40%,87%,0.0
4.14,34%,3.60,59%,N/A,2.32,30%,20%,0.0
0.59,45%,2.58,55%,N/A,0.00,0%,8%,0.5
5.00,40%,11.25,25%,N/A,0.00,0%,0%,0.0
2.97,34%,2.84,55%,N/A,2.58,45%,65%,0.2
3.10,41%,3.62,57%,N/A,2.29,67%,92%,1.0
2.87,33%,6.33,59%,N/A,0.00,0%,71%,0.0
0.73,33%,2.89,45%,N/A,1.16,20%,33%,0.6
1.49,50%,1.11,59%,N/A,1.90,33%,40%,1.4
2.54,37%,4.04,48%,N/A,0.00,0%,60%,0.0
3.96,40%,4.81,52%,N/A,0.16,16%,78%,0.0
4.93,50%,7.19,53%,N/A,0.94,25%,50%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.69,11%,4.56,42%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.43,54%,3.62,52%,N/A,0.55,66%,45%,0.8
3.17,41%,5.93,44%,N/A,0.00,0%,0%,0.0
3.65,40%,3.04,64%,N/A,0.00,0%,100%,0.5
3.93,48%,3.11,56%,N/A,0.05,14%,77%,0.1
3.29,38%,4.41,57%,N/A,0.00,0%,77%,0.0
