First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0,
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,
Alice,Ardelean,,--,115 lbs.,--,,9,5,0,
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,2,0,
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0,
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,4,0,
Joey,Armstrong,,--,--,--,,5,2,0,
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,
Kai,Asakura,,--,135 lbs.,--,,21,4,0,
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,1,0,
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,13,1,0,
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,14,3,0,
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,
Michael,Aswell Jr.,Texas Kid,--,145 lbs.,--,,9,1,0,
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,3,0,
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0,
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,
