Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Nate Marquardt,Demian Maia,1,0,1,0,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,0:21
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Mike Russow,Justin McCully,0,0,21,11,8 of 11,0 of 0,2,0,Heavyweight,U-DEC,3,5:00
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Jake Rosholt,Chris Leben,0,0,21,14,3 of 4,1 of 1,1,0,Middleweight,SUB,3,1:30
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Thiago Silva,Keith Jardine,1,0,5,3,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,1,1:35
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Aaron Simpson,Ed Herman,1,0,25,7,3 of 3,0 of 0,0,0,Middleweight,KO/TKO,2,0:17
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Brandon Vera,Krzysztof Soszynski,0,0,62,41,1 of 1,1 of 5,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Jon Jones,Jake O'Brien,0,0,25,11,0 of 0,0 of 4,1,0,Light Heavyweight,SUB,2,2:43
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Shannon Gugerty,Matt Grice,0,0,1,4,1 of 1,0 of 0,2,0,Lightweight,SUB,1,2:36
UFC 102: Couture vs Nogueira,"August 29, 2009","Portland, Oregon, USA",win,,Antonio Rodrigo Nogueira,Randy Couture,2,0,27,42,0 of 0,0 of 1,3,0,Heavyweight,U-DEC,3,5:00
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Jim Miller,Mac Danzig,0,0,37,20,6 of 7,0 of 0,1,1,Lightweight,U-DEC,3,5:00
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Brock Lesnar,Frank Mir,0,0,47,4,1 of 1,0 of 0,0,0,Heavyweight,KO/TKO,2,1:48
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Mark Coleman,Stephan Bonnar,0,0,20,26,3 of 9,0 of 0,0,3,Light Heavyweight,U-DEC,3,5:00
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Yoshihiro Akiyama,Alan Belcher,0,1,55,76,3 of 4,0 of 0,0,0,Middleweight,S-DEC,3,5:00
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Dan Henderson,Michael Bisping,1,0,29,22,0 of 0,0 of 1,0,0,Middleweight,KO/TKO,2,3:20
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Dennis Siver,Dale Hartt,0,0,8,5,0 of 0,1 of 1,2,0,Lightweight,SUB,1,3:23
UFC 100,"July 11, 2009","Las Vegas, Nevada, USA",win,,Georges St-Pierre,Thiago Alves,1,0,59,30,10 of 12,0 of 0,1,0,Welterweight,U-DEC,5,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,John Hathaway,Rick Story,0,0,31,21,4 of 10,4 of 4,3,5,Welterweight,U-DEC,3,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Stefan Struve,Denis Stojnic,0,0,4,16,0 of 1,0 of 0,7,0,Heavyweight,SUB,2,2:37
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Paul Kelly,Rolando Delgado,0,0,32,14,1 of 1,1 of 5,2,3,Lightweight,U-DEC,3,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Paul Taylor,Peter Sobotta,0,0,46,18,0 of 0,2 of 7,0,0,Welterweight,U-DEC,3,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Terry Etim,Justin Buchholz,0,1,27,23,0 of 0,0 of 1,3,0,Lightweight,SUB,2,2:38
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Dan Hardy,Marcus Davis,1,0,28,19,1 of 1,2 of 6,0,3,Welterweight,S-DEC,3,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Mike Swick,Ben Saunders,1,0,10,17,1 of 1,0 of 1,1,0,Welterweight,KO/TKO,2,3:47
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Cain Velasquez,Cheick Kongo,0,0,29,21,7 of 10,1 of 3,2,0,Heavyweight,U-DEC,3,5:00
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Spencer Fisher,Caol Uno,0,0,62,24,1 of 2,3 of 15,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Dan Miller,Jake Rosholt,0,0,2,2,0 of 0,1 of 2,2,0,Middleweight,SUB,1,1:03
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Anthony Johnson,Luigi Fioravanti,1,0,21,12,0 of 0,0 of 1,0,0,Welterweight,KO/TKO,1,4:39
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Mirko Filipovic,Mostapha Al-Turk,1,0,16,7,1 of 1,0 of 2,0,0,Heavyweight,KO/TKO,1,3:06
UFC 99: The Comeback,"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",win,,Rich Franklin,Wanderlei Silva,0,0,52,38,1 of 2,1 of 1,0,0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Josh Neer,Mac Danzig,0,1,46,33,0 of 0,0 of 1,3,0,Lightweight,SUB,2,3:36
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Kurt Pellegrino,Rob Emerson,0,0,16,21,1 of 5,2 of 5,1,0,Lightweight,SUB,2,3:14
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Cain Velasquez,Denis Stojnic,0,0,88,7,1 of 4,0 of 0,0,1,Heavyweight,KO/TKO,2,2:34
UFC Fight Night: Lauzon vs Stephens,"February 07, 2009","Tampa, Florida, USA",win,,Joe Lauzon,Jeremy Stephens,0,0,11,15,2 of 2,1 of 1,4,0,Lightweight,SUB,2,4:43
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Dan Cramer,Matt Arroyo,0,0,24,16,0 of 0,2 of 5,0,5,Welterweight,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Jon Fitch,Akihiro Gono,0,0,40,7,4 of 7,0 of 0,2,0,Welterweight,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,John Howard,Chris Wilson,0,0,21,45,7 of 7,2 of 6,2,2,Welterweight,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Jake O'Brien,Christian Wellisch,1,0,25,46,9 of 11,0 of 1,0,0,Light Heavyweight,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Thiago Tavares,Manvel Gamburyan,0,0,27,26,3 of 7,1 of 5,0,1,Lightweight,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Clay Guida,Nate Diaz,0,0,49,49,4 of 11,0 of 8,1,0,Lightweight,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Jon Jones,Stephan Bonnar,1,0,45,37,7 of 10,0 of 2,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Lyoto Machida,Thiago Silva,2,0,24,2,2 of 3,0 of 2,0,0,Light Heavyweight,KO/TKO,1,4:59
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",nc,nc,Karo Parisyan,Dong Hyun Kim,0,0,24,19,2 of 12,2 of 6,1,2,Welterweight,Overturned,3,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Krzysztof Soszynski,Andre Gusmao,1,0,18,17,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,1,3:17
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Yoshiyuki Yoshida,Brandon Wolff,0,0,4,2,0 of 0,0 of 1,1,0,Welterweight,SUB,1,2:24
UFC 94: St-Pierre vs Penn 2,"January 31, 2009","Las Vegas, Nevada, USA",win,,Georges St-Pierre,BJ Penn,0,0,92,16,4 of 7,0 of 1,0,0,Welterweight,KO/TKO,4,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Tim Hague,Pat Barry,0,0,0,3,1 of 1,0 of 0,1,0,Heavyweight,SUB,1,1:42
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,George Roop,David Kaplan,0,0,62,50,0 of 0,5 of 14,0,0,Lightweight,S-DEC,3,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Frankie Edgar,Sean Sherk,0,0,74,27,1 of 7,1 of 3,1,0,Lightweight,U-DEC,3,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Kyle Bradley,Phillipe Nover,0,0,7,3,1 of 1,0 of 0,0,0,Lightweight,KO/TKO,1,1:03
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Brock Larson,Mike Pyle,0,0,4,1,1 of 1,0 of 0,1,0,Welterweight,SUB,1,3:06
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Chael Sonnen,Dan Miller,0,0,36,9,3 of 5,0 of 0,0,2,Middleweight,U-DEC,3,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Matt Hughes,Matt Serra,0,1,34,14,3 of 5,1 of 1,0,0,Welterweight,U-DEC,3,5:00
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,TJ Grant,Ryo Chonan,0,0,34,31,3 of 4,2 of 2,0,0,Welterweight,S-DEC,3,5:00
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Drew McFedries,Xavier Foupa-Pokam,2,0,8,0,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,0:37
UFC 98: Evans vs Machida,"May 23, 2009","Las Vegas, Nevada, USA",win,,Lyoto Machida,Rashad Evans,3,0,28,4,0 of 2,0 of 0,0,0,Light Heavyweight,KO/TKO,2,3:57
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Nate Quarry,Jason MacDonald,0,0,16,1,1 of 1,0 of 1,0,0,Middleweight,KO/TKO,1,2:27
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Ed Herman,David Loiseau,0,0,71,6,5 of 9,0 of 0,0,0,Middleweight,U-DEC,3,5:00
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Mark Bocek,David Bielkheden,0,0,20,4,1 of 2,0 of 0,1,0,Lightweight,SUB,1,4:57
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Cheick Kongo,Antoni Hardonk,0,0,53,9,2 of 3,0 of 0,0,0,Heavyweight,KO/TKO,2,2:29
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Krzysztof Soszynski,Brian Stann,0,0,3,8,2 of 2,0 of 0,2,0,Light Heavyweight,SUB,1,3:53
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Denis Kang,Xavier Foupa-Pokam,0,0,31,23,5 of 6,0 of 0,1,0,Middleweight,U-DEC,3,5:00
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Mauricio Rua,Chuck Liddell,1,0,24,8,0 of 1,1 of 1,0,0,Light Heavyweight,KO/TKO,1,4:28
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Eliot Marshall,Vinny Magalhaes,0,0,44,34,0 of 0,2 of 3,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Luiz Cane,Steve Cantwell,0,0,87,69,0 of 1,0 of 0,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Eric Schafer,Antonio Mendes,0,0,22,3,0 of 1,0 of 0,0,0,Light Heavyweight,KO/TKO,1,3:35
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Sam Stout,Matt Wiman,1,0,62,46,0 of 0,4 of 11,0,2,Lightweight,U-DEC,3,5:00
UFC 97: Redemption,"April 18, 2009","Montreal, Quebec, Canada",win,,Anderson Silva,Thales Leites,0,0,94,10,0 of 0,1 of 14,0,0,Middleweight,U-DEC,5,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Marcus Davis,Chris Lytle,0,0,59,73,0 of 1,0 of 0,0,0,Welterweight,S-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Martin Kampmann,Alexandre Barros,1,0,33,8,0 of 1,1 of 2,2,0,Welterweight,KO/TKO,2,3:09
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Alan Belcher,Denis Kang,0,0,9,26,0 of 0,3 of 5,1,1,Middleweight,SUB,2,4:36
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,John Hathaway,Tom Egan,0,0,18,0,5 of 7,0 of 0,0,0,Welterweight,KO/TKO,1,4:36
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Rousimar Palhares,Jeremy Horn,0,0,18,7,7 of 10,1 of 1,0,1,Middleweight,U-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Rob Kimmons,Joe Vedepo,0,0,7,4,0 of 0,1 of 1,2,0,Middleweight,SUB,1,1:54
UFC 93: Franklin vs Henderson,"January 17, 2009","Dublin, Leinster, Ireland",win,,Mauricio Rua,Mark Coleman,2,0,62,31,1 of 2,7 of 9,2,0,Light Heavyweight,KO/TKO,3,4:36
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Ricardo Almeida,Matt Horwich,0,0,41,25,9 of 15,0 of 2,1,3,Middleweight,U-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Tim Credeur,Nick Catone,0,0,9,19,0 of 0,3 of 3,7,0,Middleweight,SUB,2,3:45
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Jorge Rivera,Nissen Osterneck,1,0,29,35,4 of 8,1 of 8,0,1,Middleweight,S-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Gleison Tibau,Jeremy Stephens,0,0,7,23,5 of 13,0 of 0,3,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Tyson Griffin,Rafael Dos Anjos,0,0,69,26,1 of 4,0 of 1,0,3,Lightweight,U-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Brock Larson,Jesse Sanders,0,0,13,0,1 of 2,0 of 0,1,0,Welterweight,SUB,1,2:01
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Cole Miller,Junie Browning,0,0,3,1,0 of 0,0 of 1,1,0,Lightweight,SUB,1,1:58
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Jason Brilz,Tim Boetsch,0,0,34,27,4 of 8,0 of 0,1,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Martin Kampmann,Carlos Condit,0,0,26,35,5 of 5,3 of 4,6,3,Welterweight,S-DEC,3,5:00
UFC Fight Night: Condit vs Kampmann,"April 01, 2009","Nashville, Tennessee, USA",win,,Ryan Bader,Carmelo Marrero,0,0,24,9,5 of 7,0 of 0,2,0,Light Heavyweight,U-DEC,3,5:00
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Matt Hamill,Mark Munoz,1,0,23,14,0 of 0,0 of 4,0,0,Light Heavyweight,KO/TKO,1,3:53
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Kendall Grove,Jason Day,1,0,10,6,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,1:32
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Matt Brown,Pete Sell,2,0,24,0,0 of 0,0 of 1,0,0,Welterweight,KO/TKO,1,1:32
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Brandon Vera,Michael Patt,2,0,32,5,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,2,1:27
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Tamdan McCrory,Ryan Madigan,0,0,12,0,1 of 1,0 of 0,0,0,Welterweight,KO/TKO,1,3:35
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Mike Ciesnolevicz,Neil Grove,0,0,0,0,0 of 1,0 of 0,2,1,Heavyweight,SUB,1,1:03
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Quinton Jackson,Keith Jardine,2,0,56,64,2 of 3,0 of 3,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Shane Carwin,Gabriel Gonzaga,1,0,4,5,0 of 0,1 of 1,0,0,Heavyweight,KO/TKO,1,1:09
UFC 96: Jackson vs Jardine,"March 07, 2009","Columbus, Ohio, USA",win,,Gray Maynard,Jim Miller,0,0,37,25,1 of 1,0 of 8,0,1,Lightweight,U-DEC,3,5:00
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Junior Dos Santos,Stefan Struve,2,0,12,0,0 of 0,0 of 0,0,0,Heavyweight,KO/TKO,1,0:54
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Paul Kelly,Troy Mandaloniz,0,1,71,38,2 of 6,4 of 4,0,0,Welterweight,U-DEC,3,5:00
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Evan Dunham,Per Eklund,1,0,13,9,0 of 0,1 of 1,1,1,Lightweight,KO/TKO,1,2:13
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Demian Maia,Chael Sonnen,0,0,6,8,1 of 4,0 of 0,1,0,Middleweight,SUB,1,2:37
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Paulo Thiago,Josh Koscheck,1,0,7,8,0 of 0,0 of 0,0,0,Welterweight,KO/TKO,1,3:29
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Dan Hardy,Rory Markham,1,0,5,2,0 of 0,0 of 0,0,0,Welterweight,KO/TKO,1,1:09
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Terry Etim,Brian Cobb,1,0,19,0,1 of 1,2 of 4,0,0,Lightweight,KO/TKO,2,0:10
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,CB Dollaway,Mike Massenzio,0,1,9,3,1 of 1,0 of 0,0,2,Middleweight,KO/TKO,1,3:01
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Diego Sanchez,Joe Stevenson,0,0,91,41,1 of 4,0 of 4,1,1,Lightweight,U-DEC,3,5:00
UFC 95: Sanchez vs Stevenson,"February 21, 2009","London, England, United Kingdom",win,,Nate Marquardt,Wilson Gouveia,1,0,67,16,2 of 6,0 of 0,1,1,Middleweight,KO/TKO,3,3:10
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,Yushin Okami,Dean Lister,0,0,39,6,0 of 0,0 of 11,0,0,Middleweight,U-DEC,3,5:00
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,Quinton Jackson,Wanderlei Silva,1,0,11,7,0 of 1,0 of 0,0,0,Light Heavyweight,KO/TKO,1,3:21
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,Frank Mir,Antonio Rodrigo Nogueira,3,0,37,10,1 of 1,0 of 0,0,0,Heavyweight,KO/TKO,2,1:54
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,Cheick Kongo,Mostapha Al-Turk,1,0,34,4,1 of 1,0 of 7,0,0,Heavyweight,KO/TKO,1,4:37
UFC 92: The Ultimate 2008,"December 27, 2008","Las Vegas, Nevada, USA",win,,Rashad Evans,Forrest Griffin,0,0,49,50,1 of 1,0 of 0,0,0,Light Heavyweight,KO/TKO,3,2:46
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Shane Nelson,George Roop,0,0,10,21,3 of 10,1 of 1,2,0,Lightweight,S-DEC,3,5:00
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Junie Browning,David Kaplan,0,0,31,12,2 of 2,2 of 2,2,1,Lightweight,SUB,2,1:32
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Wilson Gouveia,Jason MacDonald,1,0,18,6,0 of 0,1 of 4,0,0,Middleweight,KO/TKO,1,2:18
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Eliot Marshall,Jules Bruchez,0,0,8,1,1 of 1,0 of 0,2,0,Light Heavyweight,SUB,1,1:27
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Anthony Johnson,Kevin Burns,1,0,35,17,3 of 3,0 of 0,0,2,Welterweight,KO/TKO,3,0:28
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Krzysztof Soszynski,Shane Primm,0,0,19,7,0 of 0,1 of 5,1,0,Light Heavyweight,SUB,2,3:27
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Ryan Bader,Vinny Magalhaes,1,0,15,4,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,1,2:18
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Efrain Escudero,Phillipe Nover,0,0,27,20,7 of 8,0 of 1,0,2,Lightweight,U-DEC,3,5:00
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008","Las Vegas, Nevada, USA",win,,Tom Lawlor,Kyle Kingsbury,0,0,14,10,7 of 19,0 of 0,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 103: Franklin vs Belfort,"September 19, 2009","Dallas, Texas, USA",win,,Vitor Belfort,Rich Franklin,0,0,9,4,0 of 0,0 of 1,0,0,Catch Weight,KO/TKO,1,3:02
UFC 103: Franklin vs Belfort,"September 19, 2009","Dallas, Texas, USA",win,,Rafael Dos Anjos,Rob Emerson,0,0,52,27,2 of 12,0 of 1,0,0,Lightweight,U-DEC,3,5:00
The Ultimate Fighter: Heavyweights Finale,"December 05, 2009","Las Vegas, Nevada, USA",win,,Mark Bocek,Joe Brammer,0,0,6,3,2 of 2,0 of 0,1,0,Lightweight,SUB,1,3:36
UFC 108: Evans vs Silva,"January 02, 2010","Las Vegas, Nevada, USA",win,,Paul Daley,Dustin Hazelett,1,0,8,4,0 of 0,0 of 0,0,0,Welterweight,KO/TKO,1,2:24
UFC 108: Evans vs Silva,"January 02, 2010","Las Vegas, Nevada, USA",win,,Sam Stout,Joe Lauzon,0,0,94,26,0 of 0,4 of 16,0,2,Lightweight,U-DEC,3,5:00
The Ultimate Fighter: Heavyweights Finale,"December 05, 2009","Las Vegas, Nevada, USA",win,,Brian Stann,Rodney Wallace,0,0,36,15,0 of 1,7 of 15,0,2,Light Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: Heavyweights Finale,"December 05, 2009","Las Vegas, Nevada, USA",win,,John Howard,Dennis Hallman,1,0,14,8,2 of 3,2 of 4,0,2,Welterweight,KO/TKO,3,4:55
UFC 107: Penn vs Sanchez,"December 12, 2009","Memphis, Tennessee, USA",win,,TJ Grant,Kevin Burns,1,1,28,14,1 of 3,0 of 0,0,0,Welterweight,KO/TKO,1,4:57
UFC 103: Franklin vs Belfort,"September 19, 2009","Dallas, Texas, USA",win,,Vladimir Matyushenko,Igor Pokrajac,0,0,44,17,4 of 5,1 of 2,1,0,Light Heavyweight,U-DEC,3,5:00
UFC 109: Relentless,"February 06, 2010","Las Vegas, Nevada, USA",win,,Paulo Thiago,Mike Swick,1,0,9,7,0 of 0,1 of 1,1,0,Welterweight,SUB,2,1:54
UFC Live: Vera vs Jones,"March 21, 2010","Broomfield, Colorado, USA",win,,Jason Brilz,Eric Schafer,0,0,70,27,2 of 3,3 of 6,1,1,Light Heavyweight,U-DEC,3,5:00
UFC 109: Relentless,"February 06, 2010","Las Vegas, Nevada, USA",win,,Phil Davis,Brian Stann,0,0,48,5,3 of 4,0 of 0,1,0,Light Heavyweight,U-DEC,3,5:00
UFC 108: Evans vs Silva,"January 02, 2010","Las Vegas, Nevada, USA",win,,Rafaello Oliveira,John Gunderson,0,0,21,1,6 of 7,1 of 1,4,4,Lightweight,U-DEC,3,5:00
UFC Live: Vera vs Jones,"March 21, 2010","Broomfield, Colorado, USA",win,,Clay Guida,Shannon Gugerty,0,0,14,1,2 of 2,0 of 1,1,3,Lightweight,SUB,2,3:40
UFC 114: Rampage vs Evans,"May 29, 2010","Las Vegas, Nevada, USA",win,,Dong Hyun Kim,Amir Sadollah,0,0,30,10,0 of 0,6 of 8,0,0,Welterweight,U-DEC,3,5:00
UFC Live: Vera vs Jones,"March 21, 2010","Broomfield, Colorado, USA",win,,Mike Pierce,Julio Paulino,0,0,39,17,6 of 10,0 of 0,0,0,Welterweight,U-DEC,3,5:00
UFC Live: Vera vs Jones,"March 21, 2010","Broomfield, Colorado, USA",win,,Alessio Sakara,James Irvin,1,0,13,6,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,3:01
