Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Bill Algeo,TJ Brown,1,0,64,46,1 of 1,1 of 2,1,0,Featherweight,SUB,2,1:40
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Zak Cummings,Ed Herman,3,0,100,54,0 of 0,0 of 1,0,0,Light Heavyweight,KO/TKO,3,4:13
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Ion Cutelaba,Tanner Boser,0,0,30,5,0 of 0,1 of 1,0,0,Light Heavyweight,KO/TKO,1,2:05
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Edson Barboza,Billy Quarantillo,1,0,21,19,0 of 0,0 of 2,0,0,Featherweight,KO/TKO,1,2:37
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Rafa Garcia,Clay Guida,0,0,141,63,0 of 3,0 of 1,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,CJ Vergara,Daniel Lacerda,0,2,83,48,0 of 0,1 of 2,1,2,Flyweight,KO/TKO,2,4:04
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Azamat Murzakanov,Dustin Jacoby,1,0,67,64,1 of 6,1 of 5,0,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Max Holloway,Arnold Allen,0,0,147,76,0 of 0,0 of 0,0,0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Victor Altamirano,Vinicius Salvador,0,0,62,47,3 of 22,1 of 6,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Trevin Giles,Preston Parsons,0,0,55,42,0 of 1,3 of 11,0,3,Welterweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Albert Duraev,Chidi Njokuani,0,0,45,40,0 of 0,2 of 3,0,0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Maycee Barber,Andrea Lee,0,0,48,39,5 of 5,2 of 2,0,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA",win,,Cory Sandhagen,Marlon Vera,0,0,128,58,0 of 1,3 of 12,0,1,Bantamweight,S-DEC,5,5:00
