Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC 58: USA vs Canada,,Jason Lambert,Rob MacDonald,1,7,1,1,Light Heavyweight,SUB,1,1:54
UFC 58: USA vs Canada,,Tom Murphy,Icho Larenas,0,30,6,2,Heavyweight,KO/TKO,3,1:59
UFC 59: Reality Check,,Jason Lambert,Terry Martin,0,31,0,0,Light Heavyweight,KO/TKO,2,2:37
UFC 59: Reality Check,,Thiago Alves,Derrick Noble,1,11,0,0,Welterweight,KO/TKO,1,2:54
UFC 60: Hughes vs Gracie,,,,,,,,,,,
UFC 60: Hughes vs Gracie,,Matt Hughes,Royce Gracie,0,32,1,1,Catch Weight,KO/TKO,1,4:39
UFC 60: Hughes vs Gracie,,Dean Lister,Alessio Sakara,0,1,0,2,Light Heavyweight,SUB,1,2:20
UFC 60: Hughes vs Gracie,,Diego Sanchez,John Alessio,0,9,1,0,Welterweight,U-DEC,3,5:00
UFC 60: Hughes vs Gracie,,Brandon Vera,Assuerio Silva,0,8,0,1,Heavyweight,SUB,1,2:39
UFC 60: Hughes vs Gracie,,Mike Swick,Joe Riggs,0,5,0,1,Middleweight,SUB,1,2:19
UFC 60: Hughes vs Gracie,,Jeremy Horn,Chael Sonnen,0,3,0,4,Middleweight,SUB,2,1:17
UFC 60: Hughes vs Gracie,,Spencer Fisher,Matt Wiman,1,27,0,0,Lightweight,KO/TKO,2,1:43
UFC 60: Hughes vs Gracie,,Gabriel Gonzaga,Fabiano Scherner,1,16,3,0,Heavyweight,KO/TKO,2,0:24
UFC 60: Hughes vs Gracie,,Melvin Guillard,Rick Davis,1,10,0,0,Lightweight,KO/TKO,1,1:37
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,,,,,,,,,,
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Kenny Florian,Sam Stout,0,5,1,1,Lightweight,SUB,1,1:46
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Michael Bisping,Josh Haynes,2,41,4,4,Light Heavyweight,KO/TKO,2,4:14
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Kendall Grove,Ed Herman,0,25,0,6,Middleweight,U-DEC,3,5:00
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Keith Jardine,Wilson Gouveia,0,67,1,0,Light Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Rory Singer,Ross Pointon,0,2,0,1,Middleweight,SUB,1,0:44
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Kalib Starnes,Danny Abbadi,0,21,1,1,Middleweight,SUB,1,2:56
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Luigi Fioravanti,Solomon Hutcherson,1,11,1,0,Middleweight,KO/TKO,1,4:15
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Matt Hamill,Jesse Forbes,0,33,1,0,Light Heavyweight,KO/TKO,1,4:47
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,Mike Nickels,Wes Combs,0,22,3,1,Light Heavyweight,SUB,1,3:10
UFC Fight Night 4,,,,,,,,,,,
UFC Fight Night 4,,Stephan Bonnar,Keith Jardine,1,33,1,1,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night 4,,Rashad Evans,Sam Hoger,0,23,9,0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night 4,,Josh Neer,Joe Stevenson,1,46,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night 4,,Chris Leben,Luigi Fioravanti,0,36,5,0,Middleweight,U-DEC,3,5:00
UFC Fight Night 4,,Luke Cummo,Jason Von Flue,0,43,3,3,Welterweight,U-DEC,3,5:00
UFC Fight Night 4,,Jon Fitch,Joshua Burkman,1,25,3,1,Welterweight,SUB,2,4:57
UFC Fight Night 4,,Dan Christison,Brad Imes,0,73,0,1,Heavyweight,SUB,3,3:37
UFC Fight Night 4,,Josh Koscheck,Ansar Chalangov,0,2,2,1,Welterweight,SUB,1,3:29
UFC Fight Night 4,,Chael Sonnen,Trevor Prangley,0,25,7,0,Middleweight,U-DEC,3,5:00
UFC Fight Night 5,,,,,,,,,,,
UFC Fight Night 5,,Jonathan Goulet,Luke Cummo,0,18,6,0,Welterweight,M-DEC,3,5:00
UFC Fight Night 5,,Anderson Silva,Chris Leben,2,17,0,0,Middleweight,KO/TKO,1,0:49
UFC Fight Night 5,,Rashad Evans,Stephan Bonnar,0,17,7,0,Light Heavyweight,M-DEC,3,5:00
UFC Fight Night 5,,Mark Hominick,Jorge Gurgel,0,43,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night 5,,Josh Koscheck,Dave Menne,0,45,4,1,Welterweight,U-DEC,3,5:00
UFC Fight Night 5,,Jason Lambert,Branden Lee Hinkle,0,44,0,1,Light Heavyweight,KO/TKO,1,5:00
UFC Fight Night 5,,Jon Fitch,Thiago Alves,1,51,3,2,Welterweight,KO/TKO,2,4:37
UFC Fight Night 5,,Rob MacDonald,Kristian Rothaermel,0,10,4,3,Light Heavyweight,SUB,1,4:01
UFC Fight Night 5,,Jorge Santiago,Justin Levens,1,9,1,0,Middleweight,KO/TKO,1,2:13
UFC 61: Bitter Rivals,,,,,,,,,,,
UFC 61: Bitter Rivals,,Tim Sylvia,Andrei Arlovski,0,97,0,0,Heavyweight,U-DEC,5,5:00
UFC 61: Bitter Rivals,,Joshua Burkman,Josh Neer,1,35,4,0,Welterweight,U-DEC,3,5:00
UFC 61: Bitter Rivals,,Tito Ortiz,Ken Shamrock,0,11,1,0,Light Heavyweight,KO/TKO,1,1:18
UFC 61: Bitter Rivals,,Frank Mir,Dan Christison,0,53,3,0,Heavyweight,U-DEC,3,5:00
UFC 61: Bitter Rivals,,Joe Stevenson,Yves Edwards,0,28,3,1,Lightweight,KO/TKO,2,5:00
UFC 61: Bitter Rivals,,Hermes Franca,Joe Jordan,0,46,3,1,Catch Weight,SUB,3,0:47
UFC 61: Bitter Rivals,,Jeff Monson,Anthony Perosh,1,18,0,0,Heavyweight,KO/TKO,1,2:42
UFC 61: Bitter Rivals,,Cheick Kongo,Gilbert Aldana,0,24,1,0,Heavyweight,KO/TKO,1,4:13
UFC 61: Bitter Rivals,,Drew Fickett,Kurt Pellegrino,0,18,1,2,Welterweight,SUB,3,1:20
UFC 63: Hughes vs Penn,,,,,,,,,,,
UFC 63: Hughes vs Penn,,Matt Hughes,BJ Penn,0,35,1,0,Welterweight,KO/TKO,3,3:53
UFC 63: Hughes vs Penn,,Mike Swick,David Loiseau,0,32,3,0,Middleweight,U-DEC,3,5:00
UFC 63: Hughes vs Penn,,Melvin Guillard,Gabe Ruediger,2,20,3,0,Lightweight,KO/TKO,2,1:01
UFC 63: Hughes vs Penn,,Rashad Evans,Jason Lambert,0,25,8,0,Light Heavyweight,KO/TKO,2,2:22
UFC 63: Hughes vs Penn,,Joe Lauzon,Jens Pulver,1,9,1,0,Lightweight,KO/TKO,1,0:48
UFC 63: Hughes vs Penn,,Roger Huerta,Jason Dent,0,71,6,0,Lightweight,U-DEC,3,5:00
UFC 63: Hughes vs Penn,,Eddie Sanchez,Mario Neto,1,10,0,0,Heavyweight,KO/TKO,2,0:17
UFC 63: Hughes vs Penn,,Jorge Gurgel,Danny Abbadi,0,58,1,1,Lightweight,S-DEC,3,5:00
UFC 63: Hughes vs Penn,,Tyson Griffin,David Lee,0,0,1,1,Lightweight,SUB,1,1:50
UFC 62: Liddell vs Sobral,,,,,,,,,,,
UFC 62: Liddell vs Sobral,,Chuck Liddell,Renato Sobral,2,17,0,0,Light Heavyweight,KO/TKO,1,1:35
UFC 62: Liddell vs Sobral,,Forrest Griffin,Stephan Bonnar,0,83,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 62: Liddell vs Sobral,,Nick Diaz,Josh Neer,0,75,3,1,Welterweight,SUB,3,1:42
UFC 62: Liddell vs Sobral,,Cheick Kongo,Christian Wellisch,1,17,0,0,Heavyweight,KO/TKO,1,2:51
UFC 62: Liddell vs Sobral,,Hermes Franca,Jamie Varner,0,22,1,3,Lightweight,SUB,3,3:31
UFC 62: Liddell vs Sobral,,Eric Schafer,Rob MacDonald,0,7,0,2,Light Heavyweight,SUB,1,2:26
UFC 62: Liddell vs Sobral,,Wilson Gouveia,Wes Combs,0,9,1,1,Light Heavyweight,SUB,1,3:23
UFC 62: Liddell vs Sobral,,David Heath,Cory Walmsley,0,3,1,3,Light Heavyweight,SUB,1,2:32
UFC 62: Liddell vs Sobral,,Yushin Okami,Alan Belcher,0,12,5,0,Middleweight,U-DEC,3,5:00
UFC Fight Night 6,,,,,,,,,,,
UFC Fight Night 6,,Diego Sanchez,Karo Parisyan,0,66,3,1,Welterweight,U-DEC,3,5:00
UFC Fight Night 6,,Chris Leben,Jorge Santiago,1,9,1,0,Middleweight,KO/TKO,2,0:35
UFC Fight Night 6,,Dean Lister,Yuki Sasaki,0,24,5,2,Middleweight,U-DEC,3,5:00
UFC Fight Night 6,,Josh Koscheck,Jonathan Goulet,1,23,1,1,Welterweight,KO/TKO,1,4:10
UFC Fight Night 6,,Martin Kampmann,Crafton Wallace,0,19,1,1,Middleweight,SUB,1,2:59
UFC Fight Night 6,,Joe Riggs,Jason Von Flue,0,1,1,1,Welterweight,SUB,1,2:01
UFC Fight Night 6,,Jake O'Brien,Kristof Midoux,0,25,3,0,Heavyweight,KO/TKO,2,0:52
UFC Fight Night 6,,Forrest Petz,Sammy Morgan,5,45,6,0,Welterweight,U-DEC,3,5:00
UFC Fight Night 6,,Anthony Torres,Pat Healy,0,11,0,1,Welterweight,SUB,1,2:37
Ortiz vs Shamrock 3: The Final Chapter,,,,,,,,,,,
Ortiz vs Shamrock 3: The Final Chapter,,Tito Ortiz,Ken Shamrock,0,18,1,0,Light Heavyweight,KO/TKO,1,2:23
Ortiz vs Shamrock 3: The Final Chapter,,Kendall Grove,Chris Price,0,13,1,1,Middleweight,KO/TKO,1,3:59
Ortiz vs Shamrock 3: The Final Chapter,,Jason MacDonald,Ed Herman,0,5,0,2,Middleweight,SUB,1,2:43
Ortiz vs Shamrock 3: The Final Chapter,,Matt Hamill,Seth Petruzelli,0,14,7,0,Light Heavyweight,U-DEC,3,5:00
Ortiz vs Shamrock 3: The Final Chapter,,Nate Marquardt,Crafton Wallace,0,13,2,2,Middleweight,SUB,2,1:14
Ortiz vs Shamrock 3: The Final Chapter,,Tony DeSouza,Dustin Hazelett,0,5,1,1,Welterweight,SUB,1,3:59
Ortiz vs Shamrock 3: The Final Chapter,,Rory Singer,Josh Haynes,0,50,0,0,Middleweight,U-DEC,3,5:00
Ortiz vs Shamrock 3: The Final Chapter,,Thiago Alves,John Alessio,0,63,0,0,Welterweight,U-DEC,3,5:00
Ortiz vs Shamrock 3: The Final Chapter,,Marcus Davis,Forrest Petz,0,33,0,1,Welterweight,SUB,1,4:58
UFC 64: Unstoppable,,,,,,,,,,,
UFC 64: Unstoppable,,Anderson Silva,Rich Franklin,1,31,0,0,Middleweight,KO/TKO,1,2:59
UFC 64: Unstoppable,,Sean Sherk,Kenny Florian,0,60,8,1,Lightweight,U-DEC,5,5:00
UFC 64: Unstoppable,,Jon Fitch,Kuniyoshi Hironaka,0,44,5,0,Welterweight,U-DEC,3,5:00
UFC 64: Unstoppable,,Carmelo Marrero,Cheick Kongo,0,16,6,0,Heavyweight,S-DEC,3,5:00
UFC 64: Unstoppable,,Spencer Fisher,Dan Lauzon,1,13,0,0,Lightweight,KO/TKO,1,4:38
UFC 64: Unstoppable,,Yushin Okami,Kalib Starnes,0,39,3,1,Middleweight,KO/TKO,3,1:40
UFC 64: Unstoppable,,Clay Guida,Justin James,0,26,2,2,Lightweight,SUB,2,4:42
UFC 64: Unstoppable,,Kurt Pellegrino,Junior Assuncao,0,5,1,1,Lightweight,SUB,1,2:04
UFC 65: Bad Intentions,,,,,,,,,,,
UFC 65: Bad Intentions,,Georges St-Pierre,Matt Hughes,2,45,1,0,Welterweight,KO/TKO,2,1:25
UFC 65: Bad Intentions,,Tim Sylvia,Jeff Monson,0,49,0,1,Heavyweight,U-DEC,5,5:00
UFC 65: Bad Intentions,,Drew McFedries,Alessio Sakara,1,30,1,0,Light Heavyweight,KO/TKO,1,4:07
UFC 65: Bad Intentions,,Brandon Vera,Frank Mir,0,15,0,0,Heavyweight,KO/TKO,1,1:09
UFC 65: Bad Intentions,,Joe Stevenson,Dokonjonosuke Mishima,0,1,0,3,Lightweight,SUB,1,2:07
UFC 65: Bad Intentions,,Nick Diaz,Gleison Tibau,0,24,0,1,Welterweight,KO/TKO,2,2:27
UFC 65: Bad Intentions,,Antoni Hardonk,Sherman Pendergarst,1,10,0,0,Heavyweight,KO/TKO,1,3:15
UFC 65: Bad Intentions,,James Irvin,Hector Ramirez,1,17,0,0,Light Heavyweight,KO/TKO,2,2:36
UFC 65: Bad Intentions,,Jake O'Brien,Josh Shockman,0,13,10,0,Heavyweight,U-DEC,3,5:00
The Ultimate Fighter: The Comeback Finale,,,,,,,,,,,
The Ultimate Fighter: The Comeback Finale,,Matt Serra,Chris Lytle,0,20,1,0,Welterweight,S-DEC,3,5:00
The Ultimate Fighter: The Comeback Finale,,Travis Lutter,Patrick Cote,0,0,1,1,Middleweight,SUB,1,2:18
The Ultimate Fighter: The Comeback Finale,,Din Thomas,Rich Clementi,1,33,1,1,Lightweight,SUB,2,3:11
The Ultimate Fighter: The Comeback Finale,,Jorge Rivera,Edwin DeWees,1,24,0,0,Middleweight,KO/TKO,1,2:37
The Ultimate Fighter: The Comeback Finale,,Pete Spratt,Jeremy Jackson,0,12,0,0,Welterweight,SUB,2,1:11
The Ultimate Fighter: The Comeback Finale,,Scott Smith,Pete Sell,2,26,0,0,Middleweight,KO/TKO,2,3:25
The Ultimate Fighter: The Comeback Finale,,Charles McCarthy,Gideon Ray,0,2,1,1,Middleweight,SUB,1,4:43
The Ultimate Fighter: The Comeback Finale,,Martin Kampmann,Thales Leites,1,101,0,0,Middleweight,U-DEC,3,5:00
UFC 66: Liddell vs Ortiz 2,,,,,,,,,,,
UFC 66: Liddell vs Ortiz 2,,Chuck Liddell,Tito Ortiz,1,49,0,0,Light Heavyweight,KO/TKO,3,3:59
UFC 66: Liddell vs Ortiz 2,,Keith Jardine,Forrest Griffin,0,36,0,0,Light Heavyweight,KO/TKO,1,4:41
UFC 66: Liddell vs Ortiz 2,,Jason MacDonald,Chris Leben,0,9,1,1,Middleweight,SUB,2,4:03
UFC 66: Liddell vs Ortiz 2,,Andrei Arlovski,Marcio Cruz,0,7,0,1,Heavyweight,KO/TKO,1,3:15
UFC 66: Liddell vs Ortiz 2,,Michael Bisping,Eric Schafer,0,19,0,0,Light Heavyweight,KO/TKO,1,4:24
UFC 66: Liddell vs Ortiz 2,,Thiago Alves,Tony DeSouza,2,26,0,1,Welterweight,KO/TKO,2,1:10
UFC 66: Liddell vs Ortiz 2,,Gabriel Gonzaga,Carmelo Marrero,0,4,1,3,Heavyweight,SUB,1,3:22
UFC 66: Liddell vs Ortiz 2,,Yushin Okami,Rory Singer,0,35,3,0,Middleweight,KO/TKO,3,4:03
UFC 66: Liddell vs Ortiz 2,,Christian Wellisch,Anthony Perosh,1,61,1,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,,,,,,,,,,
UFC Fight Night: Sanchez vs Riggs,,Diego Sanchez,Joe Riggs,2,6,0,0,Welterweight,KO/TKO,1,1:45
UFC Fight Night: Sanchez vs Riggs,,Josh Koscheck,Jeff Joslin,0,14,6,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,Karo Parisyan,Drew Fickett,0,56,3,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,Marcus Davis,Shonie Carter,1,54,1,2,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,David Heath,Victor Valimaki,0,44,0,0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,Alan Belcher,Jorge Santiago,1,29,1,2,Middleweight,KO/TKO,3,2:45
UFC Fight Night: Sanchez vs Riggs,,Luigi Fioravanti,Dave Menne,1,23,1,0,Welterweight,KO/TKO,1,4:44
UFC Fight Night: Sanchez vs Riggs,,Brock Larson,Keita Nakamura,0,22,5,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sanchez vs Riggs,,Logan Clark,Steve Byrnes,0,40,0,2,Middleweight,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,,,,,,,,,,,
UFC Fight Night: Evans vs Salmon,,Rashad Evans,Sean Salmon,1,13,0,0,Light Heavyweight,KO/TKO,2,1:06
UFC Fight Night: Evans vs Salmon,,Jake O'Brien,Heath Herring,0,13,6,1,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,,Hermes Franca,Spencer Fisher,0,25,2,2,Lightweight,KO/TKO,2,4:03
UFC Fight Night: Evans vs Salmon,,Nate Marquardt,Dean Lister,4,53,2,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,,Joshua Burkman,Chad Reiner,0,27,9,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,,Ed Herman,Chris Price,0,5,1,1,Middleweight,SUB,1,2:58
UFC Fight Night: Evans vs Salmon,,Din Thomas,Clay Guida,0,33,0,1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,,Rich Clementi,Ross Pointon,0,23,1,1,Welterweight,SUB,2,4:53
UFC 68: The Uprising,,,,,,,,,,,
UFC 68: The Uprising,,Randy Couture,Tim Sylvia,1,73,7,0,Heavyweight,U-DEC,5,5:00
UFC 68: The Uprising,,Martin Kampmann,Drew McFedries,0,15,1,1,Middleweight,SUB,1,4:06
UFC 68: The Uprising,,Rich Franklin,Jason MacDonald,0,49,1,0,Middleweight,KO/TKO,2,5:00
UFC 68: The Uprising,,Matt Hughes,Chris Lytle,0,13,2,3,Welterweight,U-DEC,3,5:00
UFC 68: The Uprising,,Jason Lambert,Renato Sobral,2,19,2,0,Light Heavyweight,KO/TKO,2,3:36
UFC 68: The Uprising,,Matt Hamill,Rex Holman,0,29,0,0,Light Heavyweight,KO/TKO,1,4:00
UFC 68: The Uprising,,Jon Fitch,Luigi Fioravanti,0,19,2,2,Welterweight,SUB,2,3:05
UFC 68: The Uprising,,Gleison Tibau,Jason Dent,0,36,5,1,Lightweight,U-DEC,3,5:00
UFC 68: The Uprising,,Jamie Varner,Jason Gilliam,0,7,1,2,Lightweight,SUB,1,1:34
UFC 67: All or Nothing,,,,,,,,,,,
UFC 67: All or Nothing,,Anderson Silva,Travis Lutter,0,9,0,2,Middleweight,SUB,2,2:11
UFC 67: All or Nothing,,Mirko Filipovic,Eddie Sanchez,1,20,0,0,Heavyweight,KO/TKO,1,4:33
UFC 67: All or Nothing,,Roger Huerta,John Halverson,0,13,1,0,Lightweight,KO/TKO,1,0:19
UFC 67: All or Nothing,,Quinton Jackson,Marvin Eastman,1,45,0,0,Light Heavyweight,KO/TKO,2,3:49
UFC 67: All or Nothing,,Patrick Cote,Scott Smith,0,50,1,0,Middleweight,U-DEC,3,5:00
UFC 67: All or Nothing,,Terry Martin,Jorge Rivera,1,4,0,0,Middleweight,KO/TKO,1,0:14
UFC 67: All or Nothing,,Frankie Edgar,Tyson Griffin,0,55,8,0,Lightweight,U-DEC,3,5:00
UFC 67: All or Nothing,,Lyoto Machida,Sam Hoger,1,62,4,0,Light Heavyweight,U-DEC,3,5:00
UFC 67: All or Nothing,,Dustin Hazelett,Diego Saraiva,0,44,1,1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,,,,,,,,,,,
UFC Fight Night: Stevenson vs Guillard,,Joe Stevenson,Melvin Guillard,0,2,1,1,Lightweight,SUB,1,0:27
UFC Fight Night: Stevenson vs Guillard,,Justin McCully,Antoni Hardonk,0,21,3,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,,Kenny Florian,Dokonjonosuke Mishima,0,38,1,1,Lightweight,SUB,3,3:57
UFC Fight Night: Stevenson vs Guillard,,Wilson Gouveia,Seth Petruzelli,0,17,1,1,Light Heavyweight,SUB,2,0:39
UFC Fight Night: Stevenson vs Guillard,,Drew Fickett,Keita Nakamura,0,79,2,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,,Kurt Pellegrino,Nate Mohr,0,4,1,1,Lightweight,SUB,1,2:58
UFC Fight Night: Stevenson vs Guillard,,Kuniyoshi Hironaka,Forrest Petz,0,26,5,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,,Roan Carneiro,Rich Clementi,0,22,7,4,Welterweight,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,,Thiago Tavares,Naoyuki Kotani,0,21,4,2,Lightweight,U-DEC,3,5:00
UFC 69: Shootout,,,,,,,,,,,
UFC 69: Shootout,,Matt Serra,Georges St-Pierre,2,20,0,0,Welterweight,KO/TKO,1,3:25
UFC 69: Shootout,,Josh Koscheck,Diego Sanchez,0,30,1,0,Welterweight,U-DEC,3,5:00
UFC 69: Shootout,,Roger Huerta,Leonard Garcia,0,85,6,0,Lightweight,U-DEC,3,5:00
UFC 69: Shootout,,Yushin Okami,Mike Swick,0,28,4,2,Middleweight,U-DEC,3,5:00
UFC 69: Shootout,,Kendall Grove,Alan Belcher,0,41,1,2,Middleweight,SUB,2,4:42
UFC 69: Shootout,,Heath Herring,Brad Imes,2,64,1,0,Heavyweight,U-DEC,3,5:00
UFC 69: Shootout,,Thales Leites,Pete Sell,0,56,3,4,Middleweight,U-DEC,3,5:00
UFC 69: Shootout,,Marcus Davis,Pete Spratt,0,6,3,1,Welterweight,SUB,2,2:57
UFC 69: Shootout,,Luke Cummo,Josh Haynes,1,38,0,0,Welterweight,KO/TKO,2,2:45
UFC 71: Liddell vs Jackson,,,,,,,,,,,
UFC 71: Liddell vs Jackson,,Quinton Jackson,Chuck Liddell,1,6,0,0,Light Heavyweight,KO/TKO,1,1:53
UFC 71: Liddell vs Jackson,,Karo Parisyan,Joshua Burkman,0,54,2,0,Welterweight,U-DEC,3,5:00
UFC 71: Liddell vs Jackson,,Terry Martin,Ivan Salaverry,0,7,1,0,Middleweight,KO/TKO,1,2:04
UFC 71: Liddell vs Jackson,,Houston Alexander,Keith Jardine,2,17,0,0,Light Heavyweight,KO/TKO,1,0:48
UFC 71: Liddell vs Jackson,,Kalib Starnes,Chris Leben,0,47,2,0,Middleweight,U-DEC,3,5:00
UFC 71: Liddell vs Jackson,,Thiago Silva,James Irvin,0,1,1,0,Light Heavyweight,KO/TKO,1,1:06
UFC 71: Liddell vs Jackson,,Alan Belcher,Sean Salmon,0,0,0,1,Light Heavyweight,SUB,1,0:53
UFC 71: Liddell vs Jackson,,Din Thomas,Jeremy Stephens,0,10,1,2,Lightweight,SUB,2,2:44
UFC 71: Liddell vs Jackson,,Wilson Gouveia,Carmelo Marrero,1,18,0,1,Light Heavyweight,SUB,1,3:06
UFC Fight Night: Stout vs Fisher,,,,,,,,,,,
UFC Fight Night: Stout vs Fisher,,Spencer Fisher,Sam Stout,0,88,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Stout vs Fisher,,Jon Fitch,Roan Carneiro,0,18,0,1,Welterweight,SUB,2,1:07
UFC Fight Night: Stout vs Fisher,,Drew McFedries,Jordan Radev,1,6,0,0,Middleweight,KO/TKO,1,0:33
UFC Fight Night: Stout vs Fisher,,Thiago Tavares,Jason Black,0,11,2,2,Lightweight,SUB,2,2:49
UFC Fight Night: Stout vs Fisher,,Forrest Petz,Luigi Fioravanti,0,40,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Stout vs Fisher,,Tamdan McCrory,Pete Spratt,0,8,2,2,Welterweight,SUB,2,2:04
UFC Fight Night: Stout vs Fisher,,Gleison Tibau,Jeff Cox,0,3,0,1,Lightweight,SUB,1,1:52
UFC 72: Victory,,,,,,,,,,,
UFC 72: Victory,,Rich Franklin,Yushin Okami,0,36,1,0,Middleweight,U-DEC,3,5:00
UFC 72: Victory,,Forrest Griffin,Hector Ramirez,0,113,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 72: Victory,,Jason MacDonald,Rory Singer,0,30,2,0,Middleweight,KO/TKO,2,3:18
UFC 72: Victory,,Tyson Griffin,Clay Guida,0,50,2,2,Lightweight,S-DEC,3,5:00
UFC 72: Victory,,Ed Herman,Scott Smith,0,24,3,2,Middleweight,SUB,2,2:25
UFC 72: Victory,,Marcus Davis,Jason Tan,1,9,0,0,Welterweight,KO/TKO,1,1:15
UFC 72: Victory,,Eddie Sanchez,Colin Robinson,0,41,1,0,Heavyweight,KO/TKO,2,0:32
UFC Fight Night: Stout vs Fisher,,Anthony Johnson,Chad Reiner,1,3,0,0,Welterweight,KO/TKO,1,0:13
UFC Fight Night: Stout vs Fisher,,Nate Mohr,Luke Caudillo,0,70,0,0,Lightweight,U-DEC,3,5:00
UFC 72: Victory,,Dustin Hazelett,Stevie Lynch,0,20,0,1,Welterweight,SUB,1,2:50
UFC 70: Nations Collide,,,,,,,,,,,
UFC 70: Nations Collide,,Gabriel Gonzaga,Mirko Filipovic,1,19,1,0,Heavyweight,KO/TKO,1,4:51
UFC 70: Nations Collide,,Andrei Arlovski,Fabricio Werdum,1,28,0,0,Heavyweight,U-DEC,3,5:00
UFC 70: Nations Collide,,Michael Bisping,Elvis Sinosic,0,36,1,0,Light Heavyweight,KO/TKO,2,1:40
UFC 70: Nations Collide,,Lyoto Machida,David Heath,1,67,0,1,Light Heavyweight,U-DEC,3,5:00
UFC 70: Nations Collide,,Cheick Kongo,Assuerio Silva,0,64,0,1,Heavyweight,M-DEC,3,5:00
UFC 70: Nations Collide,,Terry Etim,Matt Grice,0,5,0,3,Lightweight,SUB,1,4:48
UFC 70: Nations Collide,,Junior Assuncao,David Lee,1,29,0,2,Lightweight,SUB,2,1:55
UFC 70: Nations Collide,,Alessio Sakara,Victor Valimaki,0,6,0,0,Light Heavyweight,KO/TKO,1,1:44
UFC 70: Nations Collide,,Jess Liaudin,Dennis Siver,0,1,0,1,Welterweight,SUB,1,1:21
UFC 70: Nations Collide,,Paul Taylor,Edilberto de Oliveira,1,78,0,0,Welterweight,KO/TKO,3,0:37
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,,,,,,,,,,
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,BJ Penn,Jens Pulver,0,23,3,3,Lightweight,SUB,2,3:12
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Nate Diaz,Manvel Gamburyan,0,2,0,1,Lightweight,SUB,2,0:20
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Thales Leites,Floyd Sword,0,6,2,1,Middleweight,SUB,1,3:50
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Roger Huerta,Doug Evans,0,34,0,0,Lightweight,KO/TKO,2,3:30
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Joe Lauzon,Brandon Melendez,0,4,3,6,Lightweight,SUB,2,2:09
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Cole Miller,Andy Wang,1,12,0,0,Lightweight,KO/TKO,1,1:10
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Gray Maynard,Rob Emerson,0,20,2,1,Lightweight,CNC,2,0:39
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Leonard Garcia,Allen Berube,0,4,0,1,Lightweight,SUB,1,4:22
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,Matt Wiman,Brian Geraghty,0,21,1,0,Lightweight,KO/TKO,1,2:09
