Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC 302: Makhachev vs. Poirier,,Randy Brown,Elizeu Zaleski dos Santos,0,67,0,2,Welterweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Roman Kopylov,Cesar Almeida,1,41,5,0,Middleweight,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Jailton Almeida,Alexandr Romanov,0,1,1,2,Heavyweight,SUB,1,2:27
UFC 302: Makhachev vs. Poirier,,Grant Dawson,Joe Solecki,0,46,3,0,Lightweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Jake Matthews,Phil Rowe,0,66,1,0,Welterweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Bassil Hafez,Mickey Gall,0,95,3,0,Welterweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Ailin Perez,Joselyne Edwards,1,42,6,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,,Ketlen Souza,Marnic Mann,0,80,1,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,,Chris Padilla,James Llontop,0,12,3,1,Lightweight,SUB,1,4:33
UFC Fight Night: Nicolau vs. Perez,,Ivana Petrovic,Liang Na,0,36,3,1,Women's Flyweight,SUB,3,1:29
UFC Fight Night: Nicolau vs. Perez,,Maheshate,Gabriel Benitez,0,97,0,0,Lightweight,S-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Andre Lima,Mitch Raposo,0,51,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,,,,,,,,,,,
UFC Fight Night: Barboza vs. Murphy,,Lerone Murphy,Edson Barboza,0,220,4,0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Barboza vs. Murphy,,Khaos Williams,Carlston Harris,1,12,0,0,Welterweight,KO/TKO,1,1:30
UFC Fight Night: Barboza vs. Murphy,,Themba Gorimbo,Ramiz Brahimaj,0,43,5,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,,Adrian Yanez,Vinicius Salvador,1,36,0,0,Bantamweight,KO/TKO,1,2:47
UFC Fight Night: Barboza vs. Murphy,,Angela Hill,Luana Pinheiro,0,28,2,1,Women's Strawweight,SUB,2,4:12
UFC Fight Night: Barboza vs. Murphy,,Tom Nolan,Victor Martinez,0,33,0,0,Lightweight,KO/TKO,1,3:50
UFC Fight Night: Barboza vs. Murphy,,Oumar Sy,Tuco Tokkos,0,0,2,1,Light Heavyweight,SUB,1,3:43
UFC Fight Night: Barboza vs. Murphy,,Melissa Gatto,Tamires Vidal,0,30,2,1,Women's Bantamweight,KO/TKO,3,0:37
UFC Fight Night: Barboza vs. Murphy,,Abus Magomedov,Warlley Alves,0,22,6,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,,Ariane Carnelossi,Piera Rodriguez,0,16,0,0,Women's Strawweight,DQ,2,3:16
UFC Fight Night: Barboza vs. Murphy,,Alatengheili,Kleydson Rodrigues,0,18,3,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,,Vanessa Demopoulos,Emily Ducote,0,109,0,0,Women's Strawweight,S-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,,,,,,,,,,
UFC 301: Pantoja vs. Erceg,,Alexandre Pantoja,Steve Erceg,0,125,9,0,Flyweight,U-DEC,5,5:00
UFC 301: Pantoja vs. Erceg,,Jose Aldo,Jonathan Martinez,0,77,1,0,Bantamweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,Anthony Smith,Vitor Petrino,0,11,0,1,Light Heavyweight,SUB,1,2:00
