SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
5.13,52%,3.70,41%,N/A,0.98,25%,56%,1.6
1.31,47%,2.96,40%,N/A,1.20,42%,54%,0.8
0.76,14%,4.56,33%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.84,39%,3.73,64%,N/A,0.39,18%,66%,0.4
0.84,26%,0.56,63%,N/A,0.00,0%,25%,0.0
4.18,49%,3.64,64%,N/A,2.02,100%,66%,0.0
3.35,44%,2.55,69%,N/A,1.56,58%,66%,0.2
3.44,33%,2.53,63%,N/A,1.64,41%,71%,0.2
3.49,62%,6.98,50%,N/A,0.00,0%,0%,0.0
0.33,12%,7.29,24%,N/A,0.00,0%,0%,0.0
1.14,21%,5.32,54%,N/A,0.00,0%,0%,0.0
1.93,14%,4.53,48%,N/A,1.00,16%,0%,0.0
0.71,42%,4.47,38%,N/A,7.06,25%,0%,0.0
2.52,39%,2.53,38%,N/A,0.25,33%,47%,1.0
1.60,26%,4.87,53%,N/A,0.00,0%,14%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
5.51,60%,3.18,58%,N/A,0.38,50%,55%,0.0
3.18,45%,3.37,53%,N/A,2.17,38%,34%,1.6
3.30,52%,3.93,51%,N/A,0.61,40%,38%,1.5
2.65,47%,3.62,50%,N/A,1.26,40%,67%,0.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.61,50%,2.83,71%,N/A,2.96,60%,100%,3.0
3.02,31%,4.63,55%,N/A,2.47,44%,58%,0.4
3.62,46%,3.05,55%,N/A,2.78,54%,25%,0.2
5.72,45%,3.38,61%,N/A,2.41,46%,75%,0.5
1.72,34%,4.03,49%,N/A,0.00,0%,7%,0.0
1.35,73%,1.16,40%,N/A,18.87,50%,50%,0.0
1.51,53%,3.66,43%,N/A,0.86,50%,44%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,2.00,25%,N/A,0.00,0%,0%,10.0
2.60,33%,3.07,58%,N/A,0.75,25%,53%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.39,45%,3.29,63%,N/A,0.00,0%,90%,0.0
4.52,37%,6.55,59%,N/A,0.18,18%,60%,0.2
2.19,35%,2.73,54%,N/A,0.40,42%,65%,0.3
2.06,70%,0.29,83%,N/A,4.41,100%,0%,4.4
3.64,44%,5.00,47%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.36,77%,0.00,0%,N/A,0.00,0%,100%,21.6
4.36,37%,5.67,47%,N/A,0.33,50%,73%,0.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.94,55%,4.33,42%,N/A,0.52,33%,100%,1.1
5.08,49%,3.64,60%,N/A,1.16,40%,65%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.26,46%,1.92,47%,N/A,4.38,65%,50%,0.5
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.74,34%,2.50,67%,N/A,2.50,25%,14%,2.5
4.53,50%,2.63,45%,N/A,3.45,36%,85%,1.0
1.37,54%,2.96,44%,N/A,0.00,0%,28%,2.1
3.56,54%,2.94,45%,N/A,1.15,22%,34%,0.9
0.66,30%,3.28,31%,N/A,0.00,0%,0%,0.0
3.00,40%,3.19,48%,N/A,2.22,58%,71%,0.4
2.27,29%,2.20,57%,N/A,1.30,100%,66%,0.0
2.61,29%,8.24,48%,N/A,0.00,0%,0%,0.0
3.88,37%,2.91,65%,N/A,0.85,40%,67%,0.4
2.17,41%,2.08,55%,N/A,0.46,50%,47%,2.3
3.05,47%,3.44,54%,N/A,0.61,50%,60%,1.1
5.69,52%,2.90,56%,N/A,0.22,33%,31%,0.0
3.00,50%,2.70,50%,N/A,4.07,56%,80%,2.0
2.19,42%,2.45,53%,N/A,2.83,50%,60%,1.7
2.82,45%,2.58,45%,N/A,3.98,66%,71%,0.8
3.79,68%,3.79,46%,N/A,2.84,44%,100%,0.7
4.76,40%,5.94,53%,N/A,1.42,26%,64%,0.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.17,60%,6.51,40%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.80,45%,7.85,42%,N/A,0.00,0%,41%,0.0
0.79,30%,1.36,41%,N/A,5.09,50%,0%,0.0
5.32,49%,4.66,54%,N/A,0.67,55%,66%,0.1
0.00,0%,24.62,44%,N/A,0.00,0%,0%,0.0
1.58,36%,2.54,56%,N/A,3.29,28%,100%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.27,20%,2.20,52%,N/A,0.00,0%,44%,0.0
2.22,29%,2.22,57%,N/A,0.00,0%,0%,0.0
1.37,45%,0.74,74%,N/A,1.47,33%,57%,0.0
2.20,29%,2.31,59%,N/A,0.65,25%,83%,0.0
4.60,37%,3.62,61%,N/A,1.84,25%,69%,0.4
5.43,51%,2.52,71%,N/A,0.84,33%,100%,0.8
1.28,48%,1.92,50%,N/A,0.51,100%,0%,2.5
5.13,51%,4.56,52%,N/A,1.42,100%,56%,0.7
5.10,45%,4.00,43%,N/A,0.00,0%,100%,1.0
2.75,32%,0.92,80%,N/A,11.01,100%,100%,11.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.32,47%,5.16,52%,N/A,0.81,40%,78%,0.2
4.59,26%,12.79,41%,N/A,0.00,0%,0%,0.0
