Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Nora Cornolle,Melissa Mullins,1,0,36,11,0,1,0,0,Women's Bantamweight,KO/TKO,2,3:06
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Alex Pereira,Jamahal Hill,1,0,24,12,0,0,0,0,Light Heavyweight,KO/TKO,1,3:14
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Zhang Weili,Yan Xiaonan,0,1,106,43,6,3,2,0,Women's Strawweight,U-DEC,5,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Max Holloway,Justin Gaethje,1,0,181,103,0,0,0,0,Lightweight,KO/TKO,5,4:59
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Arman Tsarukyan,Charles Oliveira,0,0,49,19,2,0,0,4,Lightweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Bo Nickal,Cody Brundage,0,0,8,4,3,0,2,0,Middleweight,SUB,2,3:38
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Jiri Prochazka,Aleksandar Rakic,0,0,69,58,1,0,0,0,Light Heavyweight,KO/TKO,2,3:17
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Aljamain Sterling,Calvin Kattar,0,0,39,8,8,0,0,0,Featherweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Kayla Harrison,Holly Holm,0,0,51,2,2,0,1,0,Women's Bantamweight,SUB,2,1:47
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Diego Lopes,Sodiq Yusuff,2,0,26,2,0,0,0,0,Featherweight,KO/TKO,1,1:29
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Renato Moicano,Jalin Turner,0,1,36,16,2,0,0,0,Lightweight,KO/TKO,2,4:11
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Jessica Andrade,Marina Rodriguez,0,0,89,82,1,0,0,1,Women's Strawweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,King Green,Jim Miller,1,0,186,57,1,0,0,0,Lightweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Deiveson Figueiredo,Cody Garbrandt,0,0,13,16,1,0,2,0,Bantamweight,SUB,2,4:02
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Rose Namajunas,Amanda Ribas,0,0,93,83,1,4,0,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Karl Williams,Justin Tafa,0,0,40,21,7,0,1,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Edmen Shahbazyan,AJ Dobson,1,0,27,15,1,0,0,0,Middleweight,KO/TKO,1,4:33
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Payton Talbott,Cameron Saaiman,1,0,79,31,0,0,0,0,Bantamweight,KO/TKO,2,0:21
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Youssef Zalal,Billy Quarantillo,0,0,33,10,2,0,2,0,Featherweight,SUB,2,1:50
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Fernando Padilla,Luis Pajuelo,1,0,34,5,0,0,1,0,Featherweight,SUB,1,2:45
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Trey Ogden,Kurt Holobaugh,0,0,35,29,3,0,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Julian Erosa,Ricardo Ramos,0,0,4,7,0,2,1,0,Featherweight,SUB,1,2:15
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Miles Johns,Cody Gibson,0,0,25,18,2,1,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Jarno Errens,Steven Nguyen,1,0,105,63,0,1,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Daria Zhelezniakova,Montserrat Rendon,0,0,57,25,0,3,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Andre Lima,Igor Severino,0,0,30,36,1,5,2,0,Flyweight,DQ,2,2:52
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Mick Parkin,Mohammed Usman,0,0,72,57,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Alex Pereira,Jiri Prochazka,2,0,38,7,0,0,0,0,Light Heavyweight,KO/TKO,2,0:13
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",,Diego Lopes,Dan Ige,0,0,49,42,1,0,1,0,Catch Weight,U-DEC,3,5:00
