First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,
Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,
Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,
Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,
Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,
Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,
Tetsuya,Seki,,"5' 10""",155 lbs.,--,,14,8,1,
Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0,
Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0,
Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,11,7,0,
Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2,
Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,
Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0,
YeDam,Seo,,"5' 3""",115 lbs.,"63.0""",Orthodox,7,4,0,
Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0,
Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,
Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,
Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,
Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0,
Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,
Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4,
Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,
Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0,
Igor,Severino,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,1,0,
Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1,
Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0,
Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0,
Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"75.0""",Orthodox,13,4,0,
Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0,
Don,Shainis,Shameless,"5' 6""",145 lbs.,"67.0""",Orthodox,12,5,0,
Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0,
Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2,
Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2,
Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2,
Shang,Zhifa,Northeast Flying Tiger,"5' 7""",125 lbs.,"63.0""",Orthodox,32,8,0,
Priya,Sharma,The Catwoman,"5' 1""",115 lbs.,"59.0""",Orthodox,5,2,0,
Jason,Sharp,,--,205 lbs.,--,,3,3,0,
Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0,
Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,
Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,16,12,0,
Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,23,4,1,
Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,10,4,0,
Shi,Ming,,"5' 2""",115 lbs.,"60.0""",Orthodox,15,5,0,
Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,
Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1,
Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1,
Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11,
Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0,
Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1,
Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2,
Wes,Shivers,,"6' 8""",--,--,,7,1,0,
Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0,
Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0,
