,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
124,Patrick Williams,265.0,Tom Duquesnoy,-385.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
125,Rashid Magomedov,-260.0,Bobby Green,180.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
126,Robert Whittaker,150.0,Ronaldo Souza,-190.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
127,Rose Namajunas,-135.0,Michelle Waterson-Gomez,-105.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
128,Aaron Phillips,140.0,Gaston Bolanos,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
129,Arnold Allen,125.0,Max Holloway,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
130,Azamat Murzakanov,170.0,Dustin Jacoby,-200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
131,Bill Algeo,-139.0,Tj Brown,119.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
132,Billy Quarantillo,-155.0,Edson Barboza,135.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
133,Brandon Royval,125.0,Matheus Nicolau,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
134,Bruna Brasil,-160.0,Denise Gomes,140.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
135,Chris Gutierrez,-235.0,Pedro Munhoz,200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
136,Clay Guida,140.0,Rafa Garcia,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
137,Daniel Zellhuber,-175.0,Lando Vannata,150.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
138,Ed Herman,210.0,Zak Cummings,-250.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
139,Gillian Robertson,115.0,Piera Rodriguez,-135.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
140,Jake Collier,-185.0,Martin Buday,160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
141,Joselyne Edwards,150.0,Lucie Pudilova,-175.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
142,Tanner Boser,-160.0,Ion Curelaba,140.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
143,Akira Corassani,335.0,Dustin Poirier,-505.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
144,Chad Laprise,-150.0,Olivier Aubin-Mercier,110.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
145,Dustin Kimura,-140.0,George Roop,100.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
146,Elias Theodorou,-270.0,Sheldon Westcott,190.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
147,Kyle Noke,-110.0,Patrick Cote,-130.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
148,Leslie Smith,190.0,Sarah Kaufman,-270.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
149,Mark Bocek,-405.0,Mike de La Torre,285.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
150,Michael Bisping,-165.0,Tim Kennedy,125.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
151,Mitch Gagnon,-275.0,Tim Gorman,195.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
152,Nordine Taleb,-270.0,Vik Grujic,190.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
153,Ryan Jimmo,-385.0,Sean O'Connell,265.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
154,Sam Stout,-165.0,KJ Noons,125.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
155,Beneil Dariush,-210.0,Michael Chiesa,160.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
156,Bethe Correia,185.0,Raquel Pennington,-265.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
157,Cezar Ferreira,130.0,Oluwale Bamgbose,-170.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
158,Court McGee,-140.0,Santiago Ponzinibbio,100.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
159,Cub Swanson,-135.0,Hacran Dias,-105.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
160,Darrell Horcher,435.0,Khabib Nurmagomedov,-705.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
161,Glover Teixeira,-190.0,Rashad Evans,150.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
162,John Dodson,-505.0,Manny Gamburyan,335.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
163,Michael Graves,-160.0,Randy Brown,120.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
164,Omari Akhmedov,-210.0,Elizeu Zaleski Dos Santos,160.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
165,Rose Namajunas,-140.0,Tecia Torres,100.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
166,Ange Loosa,210.0,Mounir Lazzez,-250.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
167,Belal Muhammad,180.0,Vicente Luque,-210.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
168,Brandon Jenkins,220.0,Drakkar Klose,-260.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
169,Caio Borralho,130.0,Gadzhi Omargadzhiev,-150.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
170,Chris Barnett,120.0,Martin Buday,-140.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
171,Devin Clark,-150.0,William Knight,130.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
172,Istela Nunes,-210.0,Sam Hughes,180.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
173,Jesse Ronson,140.0,Rafa Garcia,-160.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
174,Jordan Leavitt,-155.0,Trey Ogden,135.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
175,Jordan Leavitt,-145.0,Victor Martinez,120.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
176,Kevin Croom,120.0,Heili Alateng,-140.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
177,Mayra Bueno Silva,-110.0,Yanan Wu,-110.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
178,Miguel Baeza,-140.0,Andre Fialho,120.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
179,Mounir Lazzez,190.0,Elizeu Zaleski Dos Santos,-225.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
180,Pannie Kianzad,-300.0,Lina Akhtar Lansberg,250.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
181,Pat Sabatini,-240.0,TJ Laramie,205.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
182,Abdul Razak Alhassan,-350.0,Jacob Malkoun,285.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
183,Andrei Arlovski,-130.0,Chase Sherman,110.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
184,Anthony Birchak,175.0,Tony Gravely,-205.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
185,Austin Hubbard,-175.0,Dakota Bush,145.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
186,Bartosz Fabinski,-150.0,Gerald Meerschaert,130.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
187,Jessica Penne,155.0,Lupita Godinez,-185.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
188,Justine Kish,200.0,Tracy Cortez,-235.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
189,Kelvin Gastelum,220.0,Robert Whittaker,-275.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
190,Luis Pena,-175.0,Alex Munoz,150.0,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
191,Chris Barnett,240.0,Martin Buday,-300.0,UFC Fight Night,Apr 17th 2022
192,Anderson Silva,-450.0,Thales Leites,330.0,UFC 97: Redemption,Apr 18th 2009
