,Winner,Event,Date,Location,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,born_year 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes Avg 1,Sig Str % 1,Sig Strikes Opp Avg 1,Sig Str % Opp 1,Strikes Avg 1,Str % 1,Strikes Opp Avg 1,Str % Opp 1,TD Avg 1,TD % 1,TD Opp Avg 1,TD % Opp 1,KD Avg 1,KD Opp Avg 1,DEC Avg 1,KO Avg 1,SUB Avg 1,DEC Opp Avg 1,KO Opp Avg 1,SUB Opp Avg 1,CTRL Avg 1,CTRL Opp Avg 1,Time Avg 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes Avg 2,Sig Str % 2,Sig Strikes Opp Avg 2,Sig Str % Opp 2,Strikes Avg 2,Str % 2,Strikes Opp Avg 2,Str % Opp 2,TD Avg 2,TD % 2,TD Opp Avg 2,TD % Opp 2,KD Avg 2,KD Opp Avg 2,DEC Avg 2,KO Avg 2,SUB Avg 2,DEC Opp Avg 2,KO Opp Avg 2,SUB Opp Avg 2,CTRL Avg 2,CTRL Opp Avg 2,Time Avg 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2,born_year 2,Fighter 1 Odds,Fighter 2 Odds
10,0,UFC Fight Night,2023,"Las Vegas, Nevada, USA",Kanako Murata,Vanessa Demopoulos,Women's Strawweight,Orthodox,12,2,1993,1,1,2,50,32.5,30.952380952380956,26.0,28.57142857142857,38.0,25.938566552901023,52.5,45.65217391304348,0.0,0.0,2.0,40.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,23.0,357.5,750.0,-1,-1,3,30,14.0,85.71428571428571,3,2,5,60,53.8,23.996431757359503,76.2,32.675814751286445,74.4,27.393225331369663,89.8,31.731448763250885,0.6,15.0,0.2,33.33333333333333,0.4,0.0,0.4,0.0,0.2,0.4,0.0,0.0,183.4,76.6,749.0,-1,9,5,14.0,64.28571428571429,1,-3,35,Orthodox,1988,-218.0,180.0
11,0,UFC,2024,"Las Vegas, Nevada, USA",Emily Ducote,Vanessa Demopoulos,Women's Strawweight,Orthodox,13,8,1994,2,2,4,50,92.0,22.899813316739262,131.75,28.272532188841204,95.5,20.286776420605417,135.75,26.143476167549352,0.25,6.25,0.25,20.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,5.5,3.5,900.0,1,0,4,30,21.0,61.90476190476191,4,2,6,66,50.0,21.082220660576247,69.16666666666667,28.05949966193374,76.33333333333333,29.227823867262288,86.5,32.539184952978054,0.5,14.285714285714285,1.0,66.66666666666666,0.3333333333333333,0.0,0.5,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,159.83333333333334,165.5,774.1666666666666,1,10,5,15.0,66.66666666666666,0,-4,36,Orthodox,1988,-298.0,240.0
12,0,UFC 237: Namajunas vs. Andrade,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Luana Carolina,Priscila Cachoeira,Women's Flyweight,Orthodox,8,2,1988,0,2,2,0,38.5,29.72972972972973,101.0,35.815602836879435,40.0,16.096579476861166,170.0,44.50261780104712,0.0,0.0,2.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,33.0,293.0,732.5,-2,1,-4,31,10.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,6.0,83.33333333333334,-1,4,26,Orthodox,1993,250.0,-300.0
13,0,UFC Fight Night 205,2022,"London, England, United Kingdom",Luana Carolina,Molly McCann,Women's Flyweight,Orthodox,8,2,1993,3,1,4,75,42.5,23.84291725105189,37.5,25.125628140703515,65.0,32.953105196451205,66.5,36.043360433604335,0.75,15.789473684210526,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.25,224.0,111.75,697.0,2,2,7,29,10.0,80.0,4,3,7,57,74.0,23.07349665924276,72.14285714285714,22.51448952296032,86.28571428571429,23.96825396825397,84.0,22.46847535345816,3.0,47.72727272727273,0.7142857142857143,38.46153846153847,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.1428571428571428,217.14285714285717,104.14285714285714,832.1428571428571,1,11,4,15.0,73.33333333333333,-2,-7,32,Orthodox,1990,130.0,-150.0
14,0,UFC 286,2023,"London, England, United Kingdom",Joanne Wood,Luana Carolina,Women's Flyweight,Orthodox,8,3,1993,3,2,5,60,46.8,25.407166123778502,47.0,26.198439241917505,67.2,31.549295774647888,73.0,34.08029878618114,0.6,15.789473684210526,0.4,50.0,0.2,0.2,0.6,0.0,0.0,0.0,0.2,0.2,184.6,143.4,700.0,-1,0,4,30,11.0,72.72727272727273,7,8,15,46,61.8,21.935636535731188,56.53333333333333,22.481442205726403,92.26666666666668,32.25355395012818,80.2,31.26299376299376,1.0666666666666669,53.333333333333336,0.8666666666666667,41.935483870967744,0.2,0.1333333333333333,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.2,0.0,0.3333333333333333,144.46666666666667,115.0,628.2666666666667,-3,15,8,23.0,65.21739130434783,0,-4,38,Orthodox,1985,-145.0,125.0
15,0,UFC Fight Night: Strickland vs. Magomedov,2023,"Las Vegas, Nevada, USA",Ivana Petrovic,Luana Carolina,Women's Flyweight,Southpaw,6,0,1994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,29,6.0,100.0,3,3,6,50,55.66666666666666,26.4240506329114,61.0,28.17551963048499,76.5,30.888290713324363,90.33333333333331,34.36905516804059,0.5,15.789473684210526,0.6666666666666666,50.0,0.1666666666666666,0.1666666666666666,0.5,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,160.83333333333334,137.83333333333334,733.3333333333334,-2,8,4,12.0,66.66666666666666,-2,-1,30,Orthodox,1993,-225.0,163.0
16,1,UFC Fight Night,2024,"Las Vegas, Nevada, USA",Julija Stoliarenko,Luana Carolina,Women's Flyweight,Orthodox,9,4,1993,4,3,7,57,50.85714285714285,22.997416020671835,58.142857142857146,24.459134615384613,76.57142857142857,32.09580838323353,93.42857142857144,35.71818678317859,0.7142857142857143,20.0,0.7142857142857143,45.45454545454545,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.0,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,173.71428571428572,167.42857142857142,757.1428571428571,1,-1,3,31,13.0,69.23076923076923,2,5,7,28,32.57142857142857,20.24866785079929,37.142857142857146,19.41747572815534,47.57142857142857,29.15936952714536,84.0,42.98245614035088,0.1428571428571428,20.0,0.8571428571428571,37.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.1428571428571428,77.57142857142857,230.42857142857144,567.2857142857143,1,11,8,19.0,57.89473684210527,1,-3,31,Orthodox,1993,-105.0,-125.0
17,1,UFC Fight Night,2024,"Las Vegas, Nevada, USA",Luana Carolina,Lucie Pudilova,Women's Flyweight,Orthodox,10,4,1993,5,3,8,62,52.75,23.366555924695454,52.875,22.380952380952383,84.25,33.1041257367387,84.375,34.47395301327886,0.875,25.0,0.75,37.5,0.125,0.125,0.5,0.125,0.0,0.125,0.125,0.125,192.875,174.875,774.0,2,-2,2,31,14.0,71.42857142857143,3,7,10,30,48.2,17.540029112081516,53.4,22.928295405753545,76.3,26.058743169398905,71.7,29.924874791318867,0.7,24.13793103448276,0.7,43.75,0.0,0.2,0.2,0.1,0.0,0.6,0.0,0.1,163.8,203.2,812.4,-2,14,9,23.0,60.86956521739131,2,-2,30,Orthodox,1994,105.0,-138.0
18,1,UFC on ESPN+ 17: Rodriguez vs. Stephens,2019,"Mexico City, Distrito Federal, Mexico",Angela Hill,Ariane Carnelossi,Women's Strawweight,Orthodox,9,8,1985,4,7,11,36,68.54545454545455,21.95050946142649,73.18181818181819,20.08483033932136,79.36363636363636,24.3446737311768,88.18181818181819,22.70599250936329,0.4545454545454545,21.73913043478261,1.0909090909090908,33.33333333333333,0.0909090909090909,0.0909090909090909,0.3636363636363636,0.0,0.0,0.4545454545454545,0.0,0.1818181818181818,64.54545454545455,155.1818181818182,775.5454545454545,-1,1,3,34,17.0,52.94117647058824,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,1,13.0,92.3076923076923,-1,-3,27,Orthodox,1992,110.0,-150.0
19,0,UFC Fight Night: Ladd vs. Dumont,2021,"Las Vegas, Nevada, USA",Ariane Carnelossi,Istela Nunes,Women's Strawweight,Orthodox,6,1,1992,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,29,7.0,85.71428571428571,1,1,2,50,55.5,28.030303030303028,48.0,23.132530120481928,64.5,29.119638826185103,87.0,32.95454545454545,1.5,75.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,113.5,97.0,552.0,1,13,2,15.0,86.66666666666667,-2,-5,29,Orthodox,1992,-175.0,150.0
