,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
4909,UFC Fight Night 71: Mir vs. Duffee,Jul 2015,Masanori Kanehara,Rani Yahya,-120.0,-120.0
4912,UFC Fight Night 71: Mir vs. Duffee,Jul 2015,Sam Sicilia,Yaotzin Meza,-190.0,150.0
4914,UFC Fight Night 71: Mir vs. Duffee,Jul 2015,Scott Jorgensen,Manny Gamburyan,140.0,-180.0
4919,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Aaron Phillips,Jack Shore,330.0,-400.0
4920,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Abdul Razak Alhassan,Mounir Lazzez,-200.0,170.0
4921,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Andreas Michailidis,Modestas Bukauskas,205.0,-265.0
4922,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Calvin Kattar,Dan Ige,-230.0,195.0
4923,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Cody Stamann,Jimmie Rivera,115.0,-135.0
4925,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Diana Belbita,Liana Jojua,-145.0,125.0
4927,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Jared Gordon,Chris Fishgold,-110.0,-110.0
4929,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,John Phillips,Khamzat Chimaev,175.0,-245.0
4930,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Lerone Murphy,Ricardo Ramos,120.0,-140.0
4933,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Molly McCann,Taila Santos,-300.0,250.0
4935,UFC on ESPN 13: Kattar vs. Ige,Jul 2020,Ryan Benoit,Tim Elliott,165.0,-190.0
4938,UFC Fight Night 225,Jul 2023,Ailin Perez,Ashlee Evans-Smith,-275.0,200.0
4939,UFC Fight Night 225,Jul 2023,Albert Duraev,Jun Yong Park,105.0,-138.0
4940,UFC Fight Night 225,Jul 2023,Austin Lingo,Melquizael Costa,105.0,-138.0
4941,UFC Fight Night 225,Jul 2023,Azat Maksum,Tyson Nam,-400.0,275.0
4942,UFC Fight Night 225,Jul 2023,Chelsea Chandler,Norma Dumont,-110.0,-120.0
4943,UFC Fight Night 225,Jul 2023,Dustin Jacoby,Kennedy Nzechukwu,,
4944,UFC Fight Night 225,Jul 2023,Evan Elder,Genaro Valdez,-275.0,225.0
4945,UFC Fight Night 225,Jul 2023,Francisco Prado,Ottman Azaitar,-150.0,110.0
4947,UFC Fight Night 225,Jul 2023,Holly Holm,Mayra Bueno Silva,-188.0,140.0
4948,UFC Fight Night 225,Jul 2023,Istela Nunes,Viktoriia Dudakova,275.0,-400.0
4949,UFC Fight Night 225,Jul 2023,Jack Della Maddalena,Bassil Hafez,-770.0,525.0
4950,UFC Fight Night 225,Jul 2023,Kyler Phillips,Said Nurmagomedov,,
4951,UFC Fight Night 225,Jul 2023,Lando Vannata,Mike Breeden,,
4954,UFC Fight Night 225,Jul 2023,Melsik Baghdasaryan,Tucker Lutz,-225.0,163.0
4956,UFC Fight Night 225,Jul 2023,Nazim Sadykhov,Terrance McKinney,-163.0,120.0
4962,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Alex White,Lucas Martins,-155.0,115.0
4963,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Aljamain Sterling,Hugo Viana,-190.0,150.0
4964,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Alptekin Ozkilic,John Lineker,200.0,-280.0
4965,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Donald Cerrone,Jim Miller,-190.0,150.0
4966,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Edson Barboza,Evan Dunham,-280.0,200.0
4967,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Gleison Tibau,Pat Healy,-185.0,145.0
4969,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Jerrod Sanders,Yosdenis Cedeno,-170.0,130.0
4970,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Jessamyn Duke,Leslie Smith,-140.0,100.0
4972,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Joe Proctor,Justin Salas,-140.0,100.0
4978,UFC Fight Night 45: Cerrone vs. Miller,Jul 2014,Rick Story,Leonardo Mafra,-380.0,260.0
4980,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Albert Morales,Brett Johns,190.0,-270.0
4981,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Alexandre Pantoja,Neil Seery,-305.0,225.0
4982,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Amanda Lemos,Leslie Smith,110.0,-150.0
4983,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Bobby Nash,Danny Roberts,135.0,-175.0
4985,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Charlie Ward,Galore Bofando,170.0,-230.0
4986,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Cynthia Calvillo,Joanne Calderwood,-215.0,165.0
4989,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Gunnar Nelson,Santiago Ponzinibbio,-270.0,190.0
4990,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Jack Marshman,Ryan Janes,-270.0,190.0
4991,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,James Mulheron,Justin Willis,150.0,-190.0
4994,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Paul Craig,Khalil Rountree,100.0,-140.0
4995,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 2017,Paul Felder,Stevie Ray,-130.0,-110.0
4999,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Amanda Lemos,Michelle Waterson,-400.0,300.0
5000,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Bill Algeo,Herbert Burns,-120.0,100.0
5001,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Brian Ortega,Yair Rodriguez,-150.0,130.0
5002,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Charles Jourdain,Shane Burgos,130.0,-150.0
5003,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Dalcha Lungiambula,Puna Soriano,235.0,-275.0
5004,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Dustin Jacoby,Da Un Jung,-110.0,-110.0
5005,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Dustin Stoltzfus,Dwight Grant,150.0,-175.0
5006,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Emily Ducote,Jessica Penne,-135.0,115.0
5008,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Jack Shore,Ricky Simon,-115.0,-105.0
5010,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Lauren Murphy,Miesha Tate,136.0,-162.0
5011,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Matt Schnell,Su Mudaerji,195.0,-230.0
5013,UFC on ABC: Ortega vs. Rodriguez,Jul 2022,Muslim Salikhov,Jingliang Li,-140.0,120.0
5017,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Alan Baudot,Rodrigo Nascimento,275.0,-365.0
5018,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Amanda Lemos,Montserrat Ruiz,-250.0,210.0
5019,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Anderson Dos Santos,Miles Johns,125.0,-145.0
5020,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Billy Quarantillo,Gabriel Benitez,-135.0,115.0
5021,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Daniel Rodriguez,Preston Parsons,-225.0,175.0
5022,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Dustin Stoltzfus,Rodolfo Vieira,180.0,-210.0
5024,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Islam Makhachev,Thiago Moises,-500.0,375.0
5025,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Jeremy Stephens,Mateusz Gamrot,145.0,-170.0
5026,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Khalid Taha,Sergey Morozov,-150.0,130.0
5027,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Malcolm Gordon,Francisco Figueredo,195.0,-230.0
5028,UFC on ESPN: Makhachev vs. Moises,Jul 2021,Marion Reneau,Miesha Tate,-135.0,115.0
5035,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Cortney Casey,Joanne Calderwood,280.0,-400.0
5036,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Daniel Omielanczuk,Chris de La Rocha,-155.0,115.0
5037,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Evan Dunham,Ross Pearson,135.0,-175.0
5038,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Hans Stringer,Ilir Latifi,150.0,-190.0
5039,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Ivan Jorge,Joseph Duffy,435.0,-705.0
5040,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Jimmie Rivera,Marcus Brimage,-140.0,100.0
5041,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Leon Edwards,Pawel Pawlak,-210.0,160.0
5042,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Leonardo Mafra,Stevie Ray,150.0,-190.0
5044,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Michael Bisping,Thales Leites,-140.0,100.0
5045,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Mickael Lebout,Teemu Packalen,100.0,-140.0
5046,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Paddy Holohan,Vaughan Lee,-165.0,125.0
5047,UFC Fight Night 72: Bisping vs. Leites,Jul 2015,Paul Redmond,Robert Whiteford,135.0,-175.0
5055,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Alexandre Pantoja,Askar Askarov,-180.0,155.0
5056,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Amir Albazi,Malcolm Gordon,-135.0,115.0
5057,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Arman Tsarukyan,Davi Ramos,-230.0,195.0
5059,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Brett Johns,Montel Jackson,140.0,-160.0
5061,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Grant Dawson,Nad Narimani,-260.0,220.0
5062,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Jack Hermansson,Kelvin Gastelum,130.0,-150.0
5063,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Joel Alvarez,Joe Duffy,225.0,-305.0
5064,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Joseph Benavidez,Deiveson Figueiredo,130.0,-150.0
5066,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Khadis Ibragimov,Roman Dolidze,155.0,-180.0
5067,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Luana Carolina,Ariane Lipski,-110.0,-110.0
5069,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 2020,Marc Diakiese,Rafael Fiziev,-230.0,195.0
5073,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Anderson Silva,James Irvin,-675.0,450.0
5074,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Anthony Johnson,Kevin Burns,-360.0,270.0
5075,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Brad Blackburn,James Giboo,-215.0,170.0
5076,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Brandon Vera,Reese Andy,-625.0,430.0
5077,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Cain Velasquez,Jake O Brien,100.0,-140.0
5078,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Cale Yarbrough,Tim Credeur,250.0,-350.0
5079,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Frankie Edgar,Hermes Franca,-160.0,130.0
5081,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Jesse Taylor,C.B. Dollaway,-160.0,120.0
5083,UFC Fight Night 14: Silva vs Irvin,Jul 2008,Rory Markham,Brodie Farber,-280.0,220.0
5084,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Brad Pickett,Ian McCall,100.0,-140.0
5085,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Cathal Pendred,Mike King,-215.0,165.0
5086,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Cody Donovan,Nikita Krylov,100.0,-140.0
5087,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Conor McGregor,Diego Brandao,-385.0,265.0
5088,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Gunnar Nelson,Zak Cummings,-505.0,335.0
5090,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Ilir Latifi,Chris Dempsey,-245.0,175.0
5091,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Josh Sampo,Patrick Holohan,-260.0,180.0
5093,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Naoyuki Kotani,Norman Parke,235.0,-315.0
5094,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Neil Seery,Phil Harris,-140.0,100.0
5098,UFC Fight Night 46: McGregor vs. Brandao,Jul 2014,Tor Troeng,Trevor Smith,-260.0,180.0
5100,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Abdul Razak Alhassan,Brunno Ferreira,140.0,-165.0
5101,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Alexandr Romanov,Blagoy Ivanov,-125.0,-105.0
5103,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Brunno Ferreira,Nursulton Ruziboev,-138.0,110.0
5104,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Guram Kutateladze,Elves Brenner,-400.0,300.0
5105,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Ismael Bonfim,Benoit Saint-Denis,-250.0,175.0
5106,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Ivana Petrovic,Luana Carolina,-225.0,163.0
5107,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Joanderson Brito,Westin Wilson,-800.0,500.0
5108,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Karol Rosa,Yana Santos,-210.0,170.0
5109,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,Kevin Lee,Rinat Fakhretdinov,175.0,-250.0
5115,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Aleksei Oleinik,Walt Harris,-105.0,-135.0
5116,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Alex Caceres,Steven Peterson,-130.0,-110.0
5117,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Andrei Arlovski,Ben Rothwell,165.0,-215.0
5118,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Dan Hooker,James Vick,-185.0,145.0
5119,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Domingo Pilarte,Felipe Colares,-275.0,195.0
5120,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Francisco Trinaldo,Alexander Hernandez,135.0,-175.0
5121,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Gabriel Silva,Ray Borg,215.0,-295.0
5122,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Greg Hardy,Juan Adams,115.0,-155.0
5123,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Irene Aldana,Raquel Pennington,-145.0,105.0
5125,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Jennifer Maia,Roxanne Modafferi,-130.0,-110.0
5126,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Jin Soo Son,Mario Bautista,-265.0,185.0
5128,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Klidson Abreu,Sam Alvey,-150.0,110.0
5129,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 2019,Leon Edwards,Rafael Dos Anjos,-105.0,-135.0
5138,UFC Fight Night,Jul 2024,Brian Kelleher,Cody Gibson,175.0,-250.0
5139,UFC Fight Night,Jul 2024,Dione Barbosa,Miranda Maverick,130.0,-175.0
5140,UFC Fight Night,Jul 2024,Loik Radzhabov,Trey Ogden,-163.0,120.0
5141,UFC Fight Night,Jul 2024,Luana Carolina,Lucie Pudilova,105.0,-138.0
5143,UFC Fight Night,Jul 2024,Mohammed Usman,Thomas Petersen,-150.0,110.0
5145,UFC 149: Faber vs. Barao,Jul 2012,Anthony Perosh,Ryan Jimmo,135.0,-155.0
5146,UFC 149: Faber vs. Barao,Jul 2012,Anton Kuivanen,Mitch Clarke,-150.0,130.0
5147,UFC 149: Faber vs. Barao,Jul 2012,Antonio Carvalho,Daniel Pineda,170.0,-200.0
5148,UFC 149: Faber vs. Barao,Jul 2012,Brian Ebersole,James Head,-380.0,290.0
5149,UFC 149: Faber vs. Barao,Jul 2012,Bryan Caraway,Mitch Gagnon,175.0,-210.0
5150,UFC 149: Faber vs. Barao,Jul 2012,Cheick Kongo,Shawn Jordan,-230.0,170.0
5151,UFC 149: Faber vs. Barao,Jul 2012,Chris Clements,Matt Riddle,140.0,-170.0
5152,UFC 149: Faber vs. Barao,Jul 2012,Court McGee,Nick Ring,-135.0,-105.0
5154,UFC 149: Faber vs. Barao,Jul 2012,Francisco Rivera,Roland Delorme,-135.0,115.0
5155,UFC 149: Faber vs. Barao,Jul 2012,Hector Lombard,Tim Boetsch,-280.0,200.0
5159,UFC 149: Faber vs. Barao,Jul 2012,Renan Barao,Urijah Faber,-170.0,140.0
5165,UFC Fight Night,Jul 2024,Amanda Lemos,Virna Jandiroba,110.0,-150.0
5166,UFC Fight Night,Jul 2024,Bill Algeo,Doo Ho Choi,-163.0,120.0
5167,UFC Fight Night,Jul 2024,Cody Durden,Bruno Silva,-150.0,110.0
5168,UFC Fight Night,Jul 2024,Hyder Amil,Jeongyeong Lee,175.0,-250.0
5169,UFC Fight Night,Jul 2024,Kaynan Kruschewsky,Kurt Holobaugh,-163.0,120.0
5170,UFC Fight Night,Jul 2024,Steve Garcia,Seungwoo Choi,-138.0,105.0
5172,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Alex Oliveira,Ryan Laflare,160.0,-210.0
5173,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Brian Kelleher,Marlon Vera,-190.0,150.0
5174,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Chase Sherman,Damian Grabowski,-230.0,170.0
5175,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Chris Wade,Frankie Perez,-270.0,190.0
5176,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Chris Weidman,Kelvin Gastelum,-135.0,-105.0
5178,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Darren Elkins,Dennis Bermudez,150.0,-190.0
5179,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Eryk Anders,Rafael Natal,-120.0,-110.0
5181,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Gian Villante,Patrick Cummins,-110.0,-130.0
5182,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Godofredo Pepey,Shane Burgos,245.0,-335.0
5183,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Jeremy Kennedy,Kyle Bochniak,-245.0,175.0
5184,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Jimmie Rivera,Thomas Almeida,-205.0,160.0
5187,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Lyman Good,Elizeu Zaleski Dos Santos,-230.0,170.0
5193,UFC on FOX 25: Weidman vs. Gastelum,Jul 2017,Timothy Johnson,Junior Albini,-245.0,175.0
5194,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Abu Azaitar,Vitor Miranda,-165.0,125.0
5195,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Aleksandar Rakic,Justin Ledet,145.0,-185.0
5196,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Anthony Smith,Mauricio Rua,-175.0,135.0
5197,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Bartosz Fabinski,Emil Meek,205.0,-285.0
5198,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Corey Anderson,Glover Teixeira,220.0,-300.0
5199,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Damian Stasiak,Pingyuan Liu,100.0,-140.0
5200,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Damir Hadzovic,Nick Hein,135.0,-175.0
5201,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Danny Roberts,David Zawada,-420.0,300.0
5202,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Darko Stosic,Jeremy Kimball,-230.0,170.0
5203,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Davey Grant,Manny Bermudez,195.0,-275.0
5209,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Khalid Taha,Nad Narimani,165.0,-215.0
5211,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Marc Diakiese,Nasrat Haqparast,-305.0,225.0
5212,UFC Fight Night 134: Shogun vs. Smith,Jul 2018,Marcin Tybura,Stefan Struve,-175.0,135.0
5219,UFC 292,Jul 2023,Andre Muniz,Paul Craig,-188.0,140.0
5220,UFC 292,Jul 2023,Bruna Brasil,Shauna Bannon,-125.0,-105.0
5221,UFC 292,Jul 2023,Bryan Barberena,Makhmud Muradov,200.0,-275.0
5222,UFC 292,Jul 2023,Chris Duncan,Yanal Ashmouz,100.0,-133.0
5223,UFC 292,Jul 2023,Daniel Barez,Jafel Filho,100.0,-128.0
5224,UFC 292,Jul 2023,Daniel Marcos,Davey Grant,-133.0,100.0
5225,UFC 292,Jul 2023,Danny Roberts,Jonny Parsons,-105.0,-115.0
5227,UFC 292,Jul 2023,Fares Ziam,Jai Herbert,-105.0,-125.0
5228,UFC 292,Jul 2023,Jamal Pogues,Mick Parkin,-250.0,188.0
5229,UFC 292,Jul 2023,Joel Alvarez,Marc Diakiese,-150.0,115.0
5231,UFC 292,Jul 2023,Josh Culibao,Lerone Murphy,125.0,-163.0
5232,UFC 292,Jul 2023,Julija Stoliarenko,Molly McCann,300.0,-400.0
5233,UFC 292,Jul 2023,Ketlen Vieira,Pannie Kianzad,-200.0,150.0
5237,UFC 292,Jul 2023,Marcin Tybura,Tom Aspinall,250.0,-333.0
5239,UFC 292,Jul 2023,Nathaniel Wood,Andre Fili,-200.0,150.0
