,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5245,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Alex Oliveira,James Moontasri,-265.0,185.0
5246,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Alexander Yakovlev,Kamaru Usman,175.0,-245.0
5247,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Darren Elkins,Godofredo Pepey,-245.0,175.0
5248,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Eddie Wineland,Frankie Saenz,145.0,-185.0
5249,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Edson Barboza,Gilbert Melendez,-265.0,185.0
5250,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Francis Ngannou,Bojan Mihajlovic,-705.0,435.0
5254,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Holly Holm,Valentina Shevchenko,-350.0,250.0
5256,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Jason Knight,Jim Alers,190.0,-270.0
5257,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Kailin Curran,Felice Herrig,-110.0,-130.0
5259,UFC on FOX 20: Holm vs. Shevchenko,Jul 2016,Michel Prazeres,J.C. Cottrell,-260.0,180.0
5261,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Alexander Gustafsson,Nikita Krylov,170.0,-250.0
5262,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Charles Johnson,Muhammad Mokaev,380.0,-490.0
5263,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Charles Rosa,Nathaniel Wood,285.0,-350.0
5264,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Chris Curtis,Jack Hermansson,140.0,-160.0
5265,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Claudio Silva,Nicolas Dalby,240.0,-280.0
5266,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Curtis Blaydes,Tom Aspinall,-108.0,-108.0
5267,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Hannah Goldy,Molly McCann,170.0,-200.0
5269,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Jai Herbert,Kyle Nelson,-250.0,210.0
5270,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Jonathan Pearce,Makwan Amirkhani,-185.0,160.0
5271,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Jordan Leavitt,Paddy Pimblett,330.0,-400.0
5273,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Ludovit Klein,Mason Jones,275.0,-325.0
5275,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Mandy Bohm,Victoria Leonardo,-185.0,160.0
5276,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Marc Diakiese,Damir Hadrovir,-300.0,250.0
5284,UFC Fight Night: Blaydes vs. Aspinall,Jul 2022,Paul Craig,Volkan Oezdemir,170.0,-200.0
5288,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Adrian Yanez,Randy Costa,-170.0,145.0
5289,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Andre Ewell,Julio Arce,155.0,-180.0
5290,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Brendan Allen,Puna Soriano,185.0,-220.0
5291,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Cory Sandhagen,T.J. Dillashaw,-164.0,136.0
5292,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Darren Elkins,Darrick Minner,-150.0,130.0
5293,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Diana Belbita,Hannah Goldy,160.0,-195.0
5294,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Elise Reed,Sijara Eubanks,190.0,-225.0
5296,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Jordan Williams,Mickey Gall,-150.0,130.0
5298,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Kyler Phillips,Raphael Assuncao,,
5299,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Kyler Phillips,Raulian Paiva,-150.0,130.0
5300,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Maycee Barber,Miranda Maverick,-210.0,180.0
5301,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 2021,Nassourdine Imavov,Ian Heinisch,-105.0,-115.0
5305,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Ben Saunders,Kenny Robertson,-155.0,115.0
5306,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Bryan Caraway,Eddie Wineland,130.0,-170.0
5307,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Danny Castillo,Jim Miller,120.0,-160.0
5308,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 2015,Daron Cruickshank,James Krause,-215.0,165.0
