Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Mike Malott,Trevin Giles,,,,,,,,,Welterweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Ariane da Silva,Jasmine Jasudavicius,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Aiemann Zahabi,Pedro Munhoz,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Charles Jourdain,Victor Henry,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Alexandr Romanov,Rodrigo Nascimento,,,,,,,,,Heavyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Serhiy Sidey,Garrett Armfield,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Chad Anheliger,Cody Gibson,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Jamey-Lyn Horth,Ivana Petrovic,,,,,,,,,Women's Flyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Ilia Topuria,Max Holloway,,,,,,,,,Featherweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Robert Whittaker,Khamzat Chimaev,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Lerone Murphy,Dan Ige,,,,,,,,,Featherweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Magomed Ankalaev,Aleksandar Rakic,,,,,,,,,Light Heavyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Shara Magomedov,Armen Petrosyan,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Geoff Neal,Rafael Dos Anjos,,,,,,,,,Welterweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Mateusz Rebecki,Myktybek Orolbai,,,,,,,,,Lightweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Said Nurmagomedov,Daniel Santos,,,,,,,,,Bantamweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Abus Magomedov,Brunno Ferreira,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Kennedy Nzechukwu,Justin Tafa,,,,,,,,,Heavyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Farid Basharat,Victor Hugo,,,,,,,,,Bantamweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Rinat Fakhretdinov,Nursulton Ruziboev,,,,,,,,,Welterweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Ibo Aslan,Rafael Cerqueira,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Anthony Hernandez,Michel Pereira,,,,,,,,,Middleweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Rob Font,Kyler Phillips,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Charles Johnson,Sumudaerji,,,,,,,,,Flyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Brady Hiestand,Jake Hadley,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Darren Elkins,Daniel Pineda,,,,,,,,,Featherweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Matheus Nicolau,Asu Almabayev,,,,,,,,,Flyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Brad Katona,Jean Matsumoto,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Joselyne Edwards,Tamires Vidal,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Jessica Penne,Elise Reed,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Rayanne dos Santos,Alice Ardelean,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Austen Lane,Robelis Despaigne,,,,,,,,,Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Alex Pereira,Khalil Rountree Jr.,,,,,,,,,Light Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Raquel Pennington,Julianna Pena,,,,,,,,,Women's Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Jose Aldo,Mario Bautista,,,,,,,,,Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Ketlen Vieira,Kayla Harrison,,,,,,,,,Women's Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Roman Dolidze,Kevin Holland,,,,,,,,,Middleweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Stephen Thompson,Joaquin Buckley,,,,,,,,,Welterweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Marina Rodriguez,Iasmin Lucindo,,,,,,,,,Women's Strawweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Cesar Almeida,Ihor Potieria,,,,,,,,,Middleweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Carla Esparza,Tecia Pennington,,,,,,,,,Women's Strawweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Ryan Spann,Ovince Saint Preux,,,,,,,,,Light Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Court McGee,Tim Means,,,,,,,,,Welterweight,,,
