,Winner,Ht Diff,Reach Diff,Career W Diff,Career L Diff,W Diff,L Diff,Num Fights Diff,W Perc Diff,Sig Strikes Avg Diff,Sig Str % Diff,Sig Strikes Opp Avg Diff,Sig Str % Opp Diff,Strikes Avg Diff,Str % Diff,Strikes Opp Avg Diff,Str % Opp Diff,TD Avg Diff,TD % Diff,TD Opp Avg Diff,TD % Opp Diff,KD Avg Diff,KD Opp Avg Diff,DEC Avg Diff,KO Avg Diff,SUB Avg Diff,DEC Opp Avg Diff,KO Opp Avg Diff,SUB Opp Avg Diff,CTRL Avg Diff,CTRL Opp Avg Diff,Time Avg Diff,Streak Diff,Age Diff,Career Fights Diff,Career W Perc Diff,Stance Diff
3001,0,0,3,22,4,7,3,10,20,17.133333333333333,-5.478135539745573,28.46666666666667,-2.945135702893918,23.06666666666667,-6.769323922959789,38.86666666666667,-2.1557713419944946,0.4666666666666667,-35.7142857142857,0.4,5.531914893617021,0.0,-0.13333333333333341,0.0666666666666666,0.1333333333333333,0.0,0.2666666666666666,-0.06666666666666671,-0.4,34.60000000000001,102.53333333333332,443.5333333333333,-2,-2,26.0,2.9268292682926784,-1
3002,1,1,-2,-9,-5,-6,-4,-10,-6,2.6875,3.424603123758768,-5.041666666666664,0.6400483367682277,-4.3125,-0.47658899761206897,-17.729166666666664,-4.154583241692702,0.6875,22.70861833105336,-0.25,1.740812379110249,-0.27083333333333337,0.1041666666666666,0.08333333333333331,0.0416666666666666,-0.1875,-0.0833333333333334,-0.020833333333333398,0.1666666666666666,-34.75,-105.0,-54.625,3,2,-14.0,8.333333333333343,0
3003,1,4,7,3,6,2,3,5,40,58.4,22.34123947972456,45.8,20.0,67.4,24.08863473909936,55.0,21.94732641660016,1.8,40.909090909090914,1.6,36.36363636363637,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,115.6,98.8,900.0,-1,2,9.0,-15.0,0
3004,0,3,3,8,9,2,2,4,0,24.5,-23.593079584775086,20.666666666666657,-35.05838419307193,9.833333333333336,-16.68161095866733,22.666666666666657,-12.374117816811456,-5.0,-33.09178743961352,1.5,39.130434782608695,0.1666666666666666,0.0,-0.16666666666666669,0.1666666666666666,0.0,0.5,-0.5,0.0,-277.8333333333333,70.33333333333331,311.16666666666663,0,2,17.0,-27.350427350427346,0
3005,1,-5,-3,1,-4,2,-1,1,20,-18.69642857142857,-2.7138430589431657,-10.5,-1.2707358995882778,-18.89285714285714,-1.0658498772175342,-8.892857142857146,0.4897152685970987,-1.5535714285714284,-3.333333333333343,-0.7857142857142858,-8.361204013377925,0.2321428571428572,0.25,-0.0357142857142857,0.2321428571428572,0.0,-0.3214285714285714,0.0,0.125,-26.625,11.607142857142861,-170.9821428571429,0,-5,-3.0,11.57407407407409,2
3006,1,0,0,-26,-12,3,-1,2,15,25.77777777777778,-4.143964788352335,10.111111111111114,-10.517951688955407,51.101010101010104,3.21234061139263,5.232323232323232,-17.382916727665986,0.7575757575757576,8.333333333333329,0.5252525252525253,15.151515151515152,-0.2828282828282829,-0.3737373737373738,0.0505050505050505,0.101010101010101,0.0,0.0909090909090909,-0.24242424242424243,0.0,106.77777777777777,-70.4141414141414,163.47474747474746,-1,-2,-38.0,13.689839572192511,0
3007,1,0,-3,6,1,5,2,7,-16,27.820512820512818,-2.1352526615684475,31.17948717948718,2.767492092879735,49.33333333333333,2.3539314864641376,31.666666666666664,-7.584596199775959,1.0,35.13513513513514,-0.1282051282051282,5.151515151515149,0.1410256410256411,-0.10256410256410262,0.2307692307692307,-0.21794871794871795,-0.1666666666666666,0.0769230769230769,0.0769230769230769,0.0,107.15384615384616,-32.56410256410256,315.12820512820514,-1,4,7.0,-2.192982456140342,0
3008,1,-5,-8,2,-1,-3,-1,-4,5,6.5142857142857125,0.2800690503020462,2.6285714285714334,0.20142117497886858,17.828571428571436,4.134830884427004,11.728571428571428,4.9239141397306305,0.1428571428571428,11.132194813409228,0.30000000000000004,-1.8633540372670865,-0.08571428571428569,-0.11428571428571419,0.11428571428571432,-0.3714285714285714,0.3,0.02857142857142861,-0.0714285714285714,0.0,49.02857142857141,123.18571428571428,202.29999999999995,-1,3,1.0,5.238095238095241,0
3009,0,-5,-8,4,-2,-1,-2,-3,11,3.116666666666667,1.0005298557598792,-0.7499999999999929,0.23907412494939706,11.150000000000006,4.038398466666514,6.333333333333336,5.033829132111464,0.40000000000000013,18.300653594771234,0.1333333333333333,-4.761904761904759,-0.1666666666666667,-0.03333333333333341,0.06666666666666671,-0.2833333333333333,0.3333333333333333,0.016666666666666705,-0.1333333333333333,0.0,55.150000000000006,93.64999999999999,146.45000000000005,8,3,2.0,9.937888198757776,0
3010,1,5,8,-3,1,2,1,3,-3,-0.4326923076923066,0.22376125478212927,-5.01442307692308,-3.42646237170743,-5.254807692307693,-1.744213791457888,-14.46634615384616,-6.635713633040936,-0.3653846153846154,-16.80911680911681,-0.1298076923076923,4.301075268817197,0.0817307692307693,0.0961538461538462,-0.05769230769230771,0.3317307692307693,-0.3076923076923077,-0.0144230769230769,0.0480769230769231,0.0,-44.19230769230768,-94.04326923076923,-143.0336538461538,2,-3,-2.0,-5.303030303030297,0
